Cust Key,Cust Name,Cust Address,Cust City,Cust State,Cust Zip Code,Cust County,Cust Region,Cust Since,Cust Type,Cust Gender,Cust Age,Age Group,Civil Status,Loyalty Program,AGE_GROUP,CIVIL_STATUS,CUST_ADDRESS,CUST_AGE,CUST_CITY,CUST_COUNTY,CUST_GENDER,CUST_KEY,CUST_NAME,CUST_REGION,CUST_SINCE,CUST_STATE,CUST_TYPE,CUST_ZIP_CODE,BIRTHDAY_MONTH,BIRTHDAY_DAY,DOWNLOADED_APP,LOYALTY_TIER,LOYALTY_PROGRAM,Updated At,Updated By
32,Maxwell Tennant,582 Wager Alley,Sioux Falls,South Dakota,57104,"Lincoln County, South Dakota",Midwest,2016-09-27 00:00:00,Individual,Male,49,36-55,Divorced,0,36-55,Divorced,582 Wager Alley,49.0,Sioux Falls,"Lincoln County, South Dakota",Male,32.0,Maxwell Tennant,Midwest,2016-09-27,South Dakota,Individual,57104,,,,,0,,
35,Isabel Grant,94 Byland Boulevard,Roswell,Georgia,30075,"Fulton County, Georgia",South,2023-03-25 00:00:00,Individual,Female,75,56+,Widowed,1,56+,Widowed,94 Byland Boulevard,75.0,Roswell,"Fulton County, Georgia",Female,35.0,Isabel Grant,South,2023-03-25,Georgia,Individual,30075,8.0,27.0,1.0,,1,,
38,Chad Parsons,781 Bendall Avenue,Bellflower,California,90706,"Los Angeles County, California",West,2009-03-13 00:00:00,Individual,Male,21,18-35,Divorced,0,18-35,Divorced,781 Bendall Avenue,21.0,Bellflower,"Los Angeles County, California",Male,38.0,Chad Parsons,West,2009-03-13,California,Individual,90706,,,,,0,,
39,Javier Oakley,273 Ashley Alley,Phoenix,Arizona,85026,"Maricopa County, Arizona",Southwest,2010-02-20 00:00:00,Individual,Male,55,36-55,Married,0,36-55,Married,273 Ashley Alley,55.0,Phoenix,"Maricopa County, Arizona",Male,39.0,Javier Oakley,Southwest,2010-02-20,Arizona,Individual,85026,,,,,0,,
41,Mark Moss,892 Aspen Route,Compton,California,90220,"Los Angeles County, California",West,2010-03-02 00:00:00,Individual,Male,63,56+,Widowed,1,56+,Widowed,892 Aspen Route,63.0,Compton,"Los Angeles County, California",Male,41.0,Mark Moss,West,2010-03-02,California,Individual,90220,1.0,7.0,0.0,,1,,
43,Renee Booth,823 Bicknell Boulevard,Yakima,Washington,98901,"Yakima County, Washington",West,2012-09-25 00:00:00,Individual,Female,42,36-55,Divorced,0,36-55,Divorced,823 Bicknell Boulevard,42.0,Yakima,"Yakima County, Washington",Female,43.0,Renee Booth,West,2012-09-25,Washington,Individual,98901,,,,,0,,
44,Javier Bayliss,874 Lonsdale Vale,Knoxville,Tennessee,37950,"Knox County, Tennessee",South,2010-06-18 00:00:00,Individual,Male,38,36-55,Divorced,0,36-55,Divorced,874 Lonsdale Vale,38.0,Knoxville,"Knox County, Tennessee",Male,44.0,Javier Bayliss,South,2010-06-18,Tennessee,Individual,37950,,,,,0,,
47,Bart Ring,755 Woodland Way,Pittsburgh,Pennsylvania,15290,"Allegheny County, Pennsylvania",East,2008-08-21 00:00:00,Individual,Male,48,36-55,Widowed,0,36-55,Widowed,755 Woodland Way,48.0,Pittsburgh,"Allegheny County, Pennsylvania",Male,47.0,Bart Ring,East,2008-08-21,Pennsylvania,Individual,15290,,,,,0,,
48,Chuck Gallacher,506 Blean Grove,East Orange,New Jersey,07017,"Essex County, New Jersey",East,2014-08-24 00:00:00,Individual,Male,45,36-55,Divorced,0,36-55,Divorced,506 Blean Grove,45.0,East Orange,"Essex County, New Jersey",Male,48.0,Chuck Gallacher,East,2014-08-24,New Jersey,Individual,07017,,,,,0,,
49,Clint Pearson,451 Thomas More Road,Delray Beach,Florida,33444,"Palm Beach County, Florida",South,2019-03-28 00:00:00,Individual,Male,55,36-55,Married,0,36-55,Married,451 Thomas More Road,55.0,Delray Beach,"Palm Beach County, Florida",Male,49.0,Clint Pearson,South,2019-03-28,Florida,Individual,33444,,,,,0,,
51,Ethan Flynn,616 Blackheath Alley,Dayton,Ohio,45401,"Montgomery County, Ohio",Midwest,2025-08-04 00:00:00,Individual,Male,48,36-55,Married,1,36-55,Married,616 Blackheath Alley,48.0,Dayton,"Montgomery County, Ohio",Male,51.0,Ethan Flynn,Midwest,2025-08-04,Ohio,Individual,45401,6.0,19.0,0.0,at_risk,1,,
53,Gwenyth Casey,23 Ben Hill,Southfield,Michigan,48034,"Oakland County, Michigan",Midwest,2017-11-01 00:00:00,Individual,Female,25,18-35,Widowed,1,18-35,Widowed,23 Ben Hill,25.0,Southfield,"Oakland County, Michigan",Female,53.0,Gwenyth Casey,Midwest,2017-11-01,Michigan,Individual,48034,6.0,12.0,1.0,at_risk,1,,
54,Barney Malone,952 Bennett Boulevard,Seattle,Washington,98108,"King County, Washington",West,2012-02-26 00:00:00,Individual,Male,25,18-35,Single,0,18-35,Single,952 Bennett Boulevard,25.0,Seattle,"King County, Washington",Male,54.0,Barney Malone,West,2012-02-26,Washington,Individual,98108,,,,,0,,
55,Angelica Avery,338 Blanchard Lane,Arlington Heights,Illinois,60004,"Cook County, Illinois",Midwest,2017-01-29 00:00:00,Individual,Female,53,36-55,Married,0,36-55,Married,338 Blanchard Lane,53.0,Arlington Heights,"Cook County, Illinois",Female,55.0,Angelica Avery,Midwest,2017-01-29,Illinois,Individual,60004,,,,,0,,
57,Harvey Evans,139 Kimberley Drive,Pittsburg,California,94565,"Contra Costa County, California",West,2020-11-30 00:00:00,Individual,Male,33,18-35,Divorced,1,18-35,Divorced,139 Kimberley Drive,33.0,Pittsburg,"Contra Costa County, California",Male,57.0,Harvey Evans,West,2020-11-30,California,Individual,94565,11.0,24.0,1.0,,1,,
59,Rylee May,821 Cephas Rue,Bend,Oregon,97701,"Deschutes County, Oregon",West,2014-02-03 00:00:00,Individual,Female,27,18-35,Divorced,0,18-35,Divorced,821 Cephas Rue,27.0,Bend,"Deschutes County, Oregon",Female,59.0,Rylee May,West,2014-02-03,Oregon,Individual,97701,,,,,0,,
62,Carter Fall,721 Longmoore Walk,Roswell,Georgia,30075,"Fulton County, Georgia",South,2008-06-02 00:00:00,Individual,Male,41,36-55,Married,1,36-55,Married,721 Longmoore Walk,41.0,Roswell,"Fulton County, Georgia",Male,62.0,Carter Fall,South,2008-06-02,Georgia,Individual,30075,11.0,25.0,1.0,at_risk,1,,
65,Felicity Plant,534 Black Swan Tunnel,Sacramento,California,95813,"Sacramento County, California",West,2021-10-25 00:00:00,Individual,Female,50,36-55,Single,0,36-55,Single,534 Black Swan Tunnel,50.0,Sacramento,"Sacramento County, California",Female,65.0,Felicity Plant,West,2021-10-25,California,Individual,95813,,,,,0,,
67,Mason Olson,253 College Alley,Milwaukee,Wisconsin,53203,"Milwaukee County, Wisconsin",Midwest,2006-10-23 00:00:00,Individual,Male,50,36-55,Married,1,36-55,Married,253 College Alley,50.0,Milwaukee,"Milwaukee County, Wisconsin",Male,67.0,Mason Olson,Midwest,2006-10-23,Wisconsin,Individual,53203,3.0,31.0,0.0,,1,,
68,Enoch Kent,72 Boadicea Vale,Tempe,Arizona,85282,"Maricopa County, Arizona",Southwest,2011-06-14 00:00:00,Individual,Male,26,18-35,Married,0,18-35,Married,72 Boadicea Vale,26.0,Tempe,"Maricopa County, Arizona",Male,68.0,Enoch Kent,Southwest,2011-06-14,Arizona,Individual,85282,,,,,0,,
71,Ruth Walker,740 Parkfields Lane,Amboy,Washington,98601,"Clark County, Washington",West,2008-09-11 00:00:00,Individual,Female,48,36-55,Single,0,36-55,Single,740 Parkfields Lane,48.0,Amboy,"Clark County, Washington",Female,71.0,Ruth Walker,West,2008-09-11,Washington,Individual,98601,,,,,0,,
73,Danny Bailey,973 Yoakley Grove,Sioux Falls,South Dakota,57104,"Lincoln County, South Dakota",Midwest,2006-11-16 00:00:00,Individual,Male,34,18-35,Married,1,18-35,Married,973 Yoakley Grove,34.0,Sioux Falls,"Lincoln County, South Dakota",Male,73.0,Danny Bailey,Midwest,2006-11-16,South Dakota,Individual,57104,8.0,31.0,1.0,at_risk,1,,
75,Daron Umney,117 Ellerman Vale,Bend,Oregon,97701,"Deschutes County, Oregon",West,2011-05-02 00:00:00,Individual,Male,36,36-55,Married,1,36-55,Married,117 Ellerman Vale,36.0,Bend,"Deschutes County, Oregon",Male,75.0,Daron Umney,West,2011-05-02,Oregon,Individual,97701,8.0,4.0,1.0,at_risk,1,,
77,Hayden Richardson,13 Sundown Grove,Vancouver,Washington,98668,"Clark County, Washington",West,2005-12-14 00:00:00,Individual,Male,63,56+,Single,1,56+,Single,13 Sundown Grove,63.0,Vancouver,"Clark County, Washington",Male,77.0,Hayden Richardson,West,2005-12-14,Washington,Individual,98668,7.0,30.0,0.0,at_risk,1,,
79,Benjamin Middleton,86 Becher Way,Sacramento,California,95813,"Sacramento County, California",West,2007-05-17 00:00:00,Individual,Male,28,18-35,Single,0,18-35,Single,86 Becher Way,28.0,Sacramento,"Sacramento County, California",Male,79.0,Benjamin Middleton,West,2007-05-17,California,Individual,95813,,,,,0,,
83,Jules Ward,31 Howard Vale,St. Joseph,Missouri,64501,"Buchanan County, Missouri",Midwest,2025-04-06 00:00:00,Individual,Female,40,36-55,Married,1,36-55,Married,31 Howard Vale,40.0,St. Joseph,"Buchanan County, Missouri",Female,83.0,Jules Ward,Midwest,2025-04-06,Missouri,Individual,64501,10.0,16.0,0.0,,1,,
85,Kieth Walker,433 Waite Vale,Tulsa,Oklahoma,74107,"Osage County, Oklahoma",Southwest,2006-01-16 00:00:00,Individual,Male,36,36-55,Divorced,0,36-55,Divorced,433 Waite Vale,36.0,Tulsa,"Osage County, Oklahoma",Male,85.0,Kieth Walker,Southwest,2006-01-16,Oklahoma,Individual,74107,,,,,0,,
87,Livia Gilmore,693 Norland Hill,Columbus,Georgia,31908,"Muscogee County, Georgia",South,2012-07-30 00:00:00,Individual,Female,88,56+,Single,1,56+,Single,693 Norland Hill,88.0,Columbus,"Muscogee County, Georgia",Female,87.0,Livia Gilmore,South,2012-07-30,Georgia,Individual,31908,3.0,22.0,0.0,,1,,
89,Denny Weston,902 Aspen Way,Deerfield Beach,Florida,33441,"Broward County, Florida",South,2010-05-22 00:00:00,Individual,Male,85,56+,Widowed,1,56+,Widowed,902 Aspen Way,85.0,Deerfield Beach,"Broward County, Florida",Male,89.0,Denny Weston,South,2010-05-22,Florida,Individual,33441,6.0,30.0,1.0,at_risk,1,,
91,Leanne Shaw,592 Camdale Route,Downey,California,90241,"Los Angeles County, California",West,2005-12-04 00:00:00,Individual,Female,40,36-55,Widowed,0,36-55,Widowed,592 Camdale Route,40.0,Downey,"Los Angeles County, California",Female,91.0,Leanne Shaw,West,2005-12-04,California,Individual,90241,,,,,0,,
95,Gina Armstrong,774 Udall Road,Peoria,Illinois,61601,"Peoria County, Illinois",Midwest,2014-06-13 00:00:00,Individual,Female,26,18-35,Divorced,0,18-35,Divorced,774 Udall Road,26.0,Peoria,"Peoria County, Illinois",Female,95.0,Gina Armstrong,Midwest,2014-06-13,Illinois,Individual,61601,,,,,0,,
97,Hayden Carpenter,55 Bendmore Pass,Pittsburgh,Pennsylvania,15290,"Allegheny County, Pennsylvania",East,2024-09-02 00:00:00,Individual,Male,31,18-35,Married,1,18-35,Married,55 Bendmore Pass,31.0,Pittsburgh,"Allegheny County, Pennsylvania",Male,97.0,Hayden Carpenter,East,2024-09-02,Pennsylvania,Individual,15290,3.0,10.0,1.0,at_risk,1,,
98,Melody Page,56 Queensberry Road,Tulsa,Oklahoma,74107,"Osage County, Oklahoma",Southwest,2014-11-09 00:00:00,Individual,Female,27,18-35,Divorced,0,18-35,Divorced,56 Queensberry Road,27.0,Tulsa,"Osage County, Oklahoma",Female,98.0,Melody Page,Southwest,2014-11-09,Oklahoma,Individual,74107,,,,,0,,
99,Domenic Nobbs,883 Sundown Walk,Greeley,Colorado,80631,"Weld County, Colorado",Southwest,2008-02-02 00:00:00,Individual,Male,52,36-55,Married,0,36-55,Married,883 Sundown Walk,52.0,Greeley,"Weld County, Colorado",Male,99.0,Domenic Nobbs,Southwest,2008-02-02,Colorado,Individual,80631,,,,,0,,
101,Mike Skinner,735 Sherlock Walk,Lauderhill,Florida,33313,"Broward County, Florida",South,2020-03-10 00:00:00,Individual,Male,34,18-35,Married,1,18-35,Married,735 Sherlock Walk,34.0,Lauderhill,"Broward County, Florida",Male,101.0,Mike Skinner,South,2020-03-10,Florida,Individual,33313,12.0,7.0,1.0,,1,,
102,Henry Villiger,474 Church Pass,Pittsburgh,Pennsylvania,15290,"Allegheny County, Pennsylvania",East,2015-04-23 00:00:00,Individual,Male,45,36-55,Married,1,36-55,Married,474 Church Pass,45.0,Pittsburgh,"Allegheny County, Pennsylvania",Male,102.0,Henry Villiger,East,2015-04-23,Pennsylvania,Individual,15290,7.0,21.0,1.0,,1,,
103,Leslie Healy,70 Maple Pass,Jersey City,New Jersey,07302,"Hudson County, New Jersey",East,2017-07-01 00:00:00,Individual,Female,34,18-35,Single,0,18-35,Single,70 Maple Pass,34.0,Jersey City,"Hudson County, New Jersey",Female,103.0,Leslie Healy,East,2017-07-01,New Jersey,Individual,07302,,,,,0,,
105,Jaylene Dowson,795 Durnford Lane,Greenville,North Carolina,27833,"Pitt County, North Carolina",South,2007-05-12 00:00:00,Individual,Female,39,36-55,Single,1,36-55,Single,795 Durnford Lane,39.0,Greenville,"Pitt County, North Carolina",Female,105.0,Jaylene Dowson,South,2007-05-12,North Carolina,Individual,27833,10.0,21.0,1.0,platinum_member,1,,
106,Chuck Shaw,657 Meadow Boulevard,Charlotte,North Carolina,28228,"Mecklenburg County, North Carolina",South,2016-09-13 00:00:00,Individual,Male,39,36-55,Single,0,36-55,Single,657 Meadow Boulevard,39.0,Charlotte,"Mecklenburg County, North Carolina",Male,106.0,Chuck Shaw,South,2016-09-13,North Carolina,Individual,28228,,,,,0,,
107,Beatrice Bell,677 Howard Route,Pasadena,California,91103,"Los Angeles County, California",West,2013-11-26 00:00:00,Individual,Female,69,56+,Single,1,56+,Single,677 Howard Route,69.0,Pasadena,"Los Angeles County, California",Female,107.0,Beatrice Bell,West,2013-11-26,California,Individual,91103,10.0,30.0,1.0,platinum_member,1,,
109,Anabelle Tailor,749 Cephas Street,Kirkland,Washington,98033,"King County, Washington",West,2022-03-11 00:00:00,Individual,Female,44,36-55,Widowed,0,36-55,Widowed,749 Cephas Street,44.0,Kirkland,"King County, Washington",Female,109.0,Anabelle Tailor,West,2022-03-11,Washington,Individual,98033,,,,,0,,
111,Chuck Ainsworth,673 Argyle Grove,Sioux Falls,South Dakota,57104,"Lincoln County, South Dakota",Midwest,2006-12-19 00:00:00,Individual,Male,21,18-35,Widowed,1,18-35,Widowed,673 Argyle Grove,21.0,Sioux Falls,"Lincoln County, South Dakota",Male,111.0,Chuck Ainsworth,Midwest,2006-12-19,South Dakota,Individual,57104,10.0,18.0,1.0,,1,,
112,Michaela Harris,449 Carnegie Crossroad,Oakland,California,94612,"Alameda County, California",West,2023-07-30 00:00:00,Individual,Female,49,36-55,Married,0,36-55,Married,449 Carnegie Crossroad,49.0,Oakland,"Alameda County, California",Female,112.0,Michaela Harris,West,2023-07-30,California,Individual,94612,,,,,0,,
113,Mark Bullock,790 Apollo Hill,Costa Mesa,California,92628,"Orange County, California",West,2011-07-29 00:00:00,Individual,Male,86,56+,Single,0,56+,Single,790 Apollo Hill,86.0,Costa Mesa,"Orange County, California",Male,113.0,Mark Bullock,West,2011-07-29,California,Individual,92628,,,,,0,,
116,Bob Williams,559 Blue Anchor Hill,Vancouver,Washington,98668,"Clark County, Washington",West,2022-02-16 00:00:00,Individual,Male,23,18-35,Divorced,0,18-35,Divorced,559 Blue Anchor Hill,23.0,Vancouver,"Clark County, Washington",Male,116.0,Bob Williams,West,2022-02-16,Washington,Individual,98668,,,,,0,,
118,Cherish Norris,569 Angel Boulevard,Cranston,Rhode Island,02910,"Providence County, Rhode Island",East,2006-12-05 00:00:00,Individual,Female,39,36-55,Single,0,36-55,Single,569 Angel Boulevard,39.0,Cranston,"Providence County, Rhode Island",Female,118.0,Cherish Norris,East,2006-12-05,Rhode Island,Individual,02910,,,,,0,,
121,Sebastian Stuart,564 Linda Lane Street,Chino Hills,California,91709,"San Bernardino County, California",West,2025-08-10 00:00:00,Individual,Male,26,18-35,Single,1,18-35,Single,564 Linda Lane Street,26.0,Chino Hills,"San Bernardino County, California",Male,121.0,Sebastian Stuart,West,2025-08-10,California,Individual,91709,2.0,7.0,1.0,at_risk,1,,
124,Cameron Roberts,294 Monroe Walk,Lewisville,Texas,75029,"Dallas County, Texas",Southwest,2006-10-24 00:00:00,Individual,Female,34,18-35,Married,0,18-35,Married,294 Monroe Walk,34.0,Lewisville,"Dallas County, Texas",Female,124.0,Cameron Roberts,Southwest,2006-10-24,Texas,Individual,75029,,,,,0,,
125,Kendra Hill,234 Calderwood Street,Lynchburg,Virginia,24501,"Lynchburg City, Virginia",East,2022-03-31 00:00:00,Individual,Female,53,36-55,Single,0,36-55,Single,234 Calderwood Street,53.0,Lynchburg,"Lynchburg City, Virginia",Female,125.0,Kendra Hill,East,2022-03-31,Virginia,Individual,24501,,,,,0,,
127,Tony Long,233 Heritage Boulevard,Greeley,Colorado,80631,"Weld County, Colorado",Southwest,2014-08-03 00:00:00,Individual,Male,43,36-55,Widowed,1,36-55,Widowed,233 Heritage Boulevard,43.0,Greeley,"Weld County, Colorado",Male,127.0,Tony Long,Southwest,2014-08-03,Colorado,Individual,80631,2.0,8.0,0.0,,1,,
129,Peter Wilson,271 Udall Tunnel,Daly City,California,94015,"San Mateo County, California",West,2011-02-28 00:00:00,Individual,Male,33,18-35,Widowed,0,18-35,Widowed,271 Udall Tunnel,33.0,Daly City,"San Mateo County, California",Male,129.0,Peter Wilson,West,2011-02-28,California,Individual,94015,,,,,0,,
130,Daniel Tyler,344 Blackall Street,Omaha,Nebraska,68108,"Douglas County, Nebraska",Midwest,2006-03-17 00:00:00,Individual,Male,23,18-35,Divorced,0,18-35,Divorced,344 Blackall Street,23.0,Omaha,"Douglas County, Nebraska",Male,130.0,Daniel Tyler,Midwest,2006-03-17,Nebraska,Individual,68108,,,,,0,,
131,Abbey Addison,46 Geffrye Drive,Beaumont,Texas,77707,"Jefferson County, Texas",Southwest,2008-09-27 00:00:00,Individual,Female,31,18-35,Single,0,18-35,Single,46 Geffrye Drive,31.0,Beaumont,"Jefferson County, Texas",Female,131.0,Abbey Addison,Southwest,2008-09-27,Texas,Individual,77707,,,,,0,,
133,Gloria Miller,251 Glenwood Pass,Santa Fe,New Mexico,87500,"Santa Fe County, New Mexico",Southwest,2007-04-07 00:00:00,Individual,Female,31,18-35,Married,0,18-35,Married,251 Glenwood Pass,31.0,Santa Fe,"Santa Fe County, New Mexico",Female,133.0,Gloria Miller,Southwest,2007-04-07,New Mexico,Individual,87500,,,,,0,,
134,Kate Summers,320 Clissold Avenue,Lauderhill,Florida,33313,"Broward County, Florida",South,2006-12-05 00:00:00,Individual,Female,28,18-35,Married,0,18-35,Married,320 Clissold Avenue,28.0,Lauderhill,"Broward County, Florida",Female,134.0,Kate Summers,South,2006-12-05,Florida,Individual,33313,,,,,0,,
135,Mary Mitchell,681 Birkin Lane,Dayton,Ohio,45401,"Montgomery County, Ohio",Midwest,2018-04-17 00:00:00,Individual,Female,36,36-55,Single,1,36-55,Single,681 Birkin Lane,36.0,Dayton,"Montgomery County, Ohio",Female,135.0,Mary Mitchell,Midwest,2018-04-17,Ohio,Individual,45401,9.0,4.0,0.0,at_risk,1,,
136,Sara Vincent,174 Cavendish Grove,Hoover,Alabama,35226,"Jefferson County, Alabama",South,2021-10-04 00:00:00,Individual,Female,41,36-55,Divorced,0,36-55,Divorced,174 Cavendish Grove,41.0,Hoover,"Jefferson County, Alabama",Female,136.0,Sara Vincent,South,2021-10-04,Alabama,Individual,35226,,,,,0,,
137,Phillip Truscott,527 Westcott Hill,Gastonia,North Carolina,28052,"Gaston County, North Carolina",South,2020-01-18 00:00:00,Individual,Male,29,18-35,Married,0,18-35,Married,527 Westcott Hill,29.0,Gastonia,"Gaston County, North Carolina",Male,137.0,Phillip Truscott,South,2020-01-18,North Carolina,Individual,28052,,,,,0,,
139,Aleksandra Flanders,252 Abbots Pass,Bethlehem,Pennsylvania,18015,"Lehigh County, Pennsylvania",East,2020-02-16 00:00:00,Individual,Female,63,56+,Divorced,1,56+,Divorced,252 Abbots Pass,63.0,Bethlehem,"Lehigh County, Pennsylvania",Female,139.0,Aleksandra Flanders,East,2020-02-16,Pennsylvania,Individual,18015,10.0,9.0,0.0,platinum_member,1,,
141,Bart Fields,997 Underwood Alley,Omaha,Nebraska,68108,"Douglas County, Nebraska",Midwest,2014-09-22 00:00:00,Individual,Male,29,18-35,Married,0,18-35,Married,997 Underwood Alley,29.0,Omaha,"Douglas County, Nebraska",Male,141.0,Bart Fields,Midwest,2014-09-22,Nebraska,Individual,68108,,,,,0,,
142,Sylvia Notman,394 Chester  Walk,Aurora,Illinois,60505,"DuPage County, Illinois",Midwest,2008-03-21 00:00:00,Individual,Female,24,18-35,Divorced,0,18-35,Divorced,394 Chester  Walk,24.0,Aurora,"DuPage County, Illinois",Female,142.0,Sylvia Notman,Midwest,2008-03-21,Illinois,Individual,60505,,,,,0,,
143,Chris Lunt,422 Apollo Pass,St. Paul,Minnesota,55109,"Ramsey County, Minnesota",Midwest,2022-11-27 00:00:00,Individual,Male,33,18-35,Married,1,18-35,Married,422 Apollo Pass,33.0,St. Paul,"Ramsey County, Minnesota",Male,143.0,Chris Lunt,Midwest,2022-11-27,Minnesota,Individual,55109,9.0,16.0,0.0,,1,,
