Salesperson Key,Salesperson Name,Store Key,Tier,Hire Date,Employment Status,Termination Date,Tenure Years,Commission Rate
106,Jessica Howard,758,Cashier,2023-09-06 00:00:00,Active,,2.11,0.0125
107,Matthew Ramos,758,Cashier,2018-04-23 00:00:00,Active,,7.48,0.0175
108,Jonathan Lee,758,Lead,2017-07-26 00:00:00,Active,,8.22,0.06
109,Thomas Phillips,831,Cashier,2018-12-28 00:00:00,Active,,6.8,0.0175
110,James Peterson,831,Ambassador,2023-08-07 00:00:00,Active,,2.19,0.025
111,Robert Reyes,831,Cashier,2018-10-28 00:00:00,Active,,6.97,0.0175
112,Brenda Cox,831,Ambassador,2019-07-03 00:00:00,Active,,6.29,0.035
113,Christopher Brown,831,Cashier,2022-10-23 00:00:00,Active,,2.98,0.0125
114,Christopher Moore,831,Senior Ambassador,2020-09-08 00:00:00,Active,,5.1,0.045
115,Karen Kim,831,Ambassador,2018-12-03 00:00:00,Terminated,2025-01-31 00:00:00,6.87,0.035
116,Deborah Williams,831,Ambassador,2018-01-30 00:00:00,Active,,7.71,0.035
117,Carol Harris,831,Cashier,2018-01-04 00:00:00,Active,,7.78,0.0175
118,Jennifer Jones,508,Cashier,2017-04-23 00:00:00,Active,,8.48,0.0175
119,Sharon Carter,508,Cashier,2019-12-20 00:00:00,Active,,5.82,0.0175
120,Pamela Wilson,508,Cashier,2023-01-27 00:00:00,Terminated,2024-03-26 00:00:00,2.72,0.0125
121,Anna Hill,508,Cashier,2023-04-09 00:00:00,Active,,2.52,0.0125
122,Richard Rivera,508,Lead,2017-07-17 00:00:00,Active,,8.25,0.06
123,Jeffrey Adams,508,Lead,2020-01-27 00:00:00,Terminated,2022-04-28 00:00:00,5.72,0.06
124,Brian Wright,508,Ambassador,2022-05-07 00:00:00,Active,,3.44,0.03
125,Ronald White,508,Ambassador,2015-11-26 00:00:00,Active,,9.89,0.035
126,Ronald Reed,508,Cashier,2024-12-29 00:00:00,Active,,0.8,0.01
127,Shirley Anderson,508,Ambassador,2024-07-21 00:00:00,Active,,1.24,0.025
128,Melissa Scott,508,Cashier,2024-06-10 00:00:00,Active,,1.35,0.0125
129,Ronald Reyes,118,Ambassador,2023-09-13 00:00:00,Terminated,2024-09-13 00:00:00,2.09,0.025
130,Paul Gutierrez,118,Ambassador,2018-03-13 00:00:00,Active,,7.6,0.035
131,Carol Baker,118,Ambassador,2024-04-19 00:00:00,Terminated,2024-05-30 00:00:00,1.49,0.025
132,Stephanie Reyes,118,Ambassador,2025-09-06 00:00:00,Active,,0.11,0.02
133,Charles Miller,118,Cashier,2021-03-31 00:00:00,Active,,4.55,0.015
134,Stephen Garcia,118,Lead,2022-05-15 00:00:00,Active,,3.42,0.05
135,Andrew Torres,184,Ambassador,2024-03-26 00:00:00,Active,,1.56,0.025
136,Stephanie Young,184,Cashier,2019-06-10 00:00:00,Active,,6.35,0.0175
137,Kevin Adams,184,Cashier,2025-04-13 00:00:00,Terminated,2025-09-05 00:00:00,0.51,0.01
138,Charles Ward,184,Senior Ambassador,2024-08-10 00:00:00,Terminated,2024-12-01 00:00:00,1.18,0.035
139,Margaret Turner,184,Cashier,2025-09-02 00:00:00,Active,,0.12,0.01
140,Emily Miller,184,Senior Ambassador,2024-09-25 00:00:00,Active,,1.06,0.035
141,Sandra Ortiz,184,Ambassador,2020-08-05 00:00:00,Active,,5.2,0.035
142,Nancy Robinson,544,Cashier,2017-05-02 00:00:00,Terminated,2024-01-24 00:00:00,8.46,0.0175
143,Jennifer Williams,544,Cashier,2024-01-11 00:00:00,Active,,1.76,0.0125
144,Anthony Green,544,Cashier,2018-10-03 00:00:00,Terminated,2022-04-06 00:00:00,7.04,0.0175
145,Shirley Stewart,544,Senior Ambassador,2019-09-19 00:00:00,Active,,6.08,0.045
146,Larry Williams,544,Cashier,2019-03-28 00:00:00,Active,,6.55,0.0175
147,Nicholas Rivera,942,Cashier,2018-08-08 00:00:00,Terminated,2018-08-19 00:00:00,7.19,0.0175
148,Jennifer Nelson,942,Cashier,2017-10-28 00:00:00,Terminated,2020-08-27 00:00:00,7.97,0.0175
149,Anthony Davis,942,Cashier,2015-05-29 00:00:00,Active,,10.39,0.0175
150,Karen Morris,942,Cashier,2015-10-25 00:00:00,Active,,9.98,0.0175
151,Donna Hall,942,Cashier,2015-09-11 00:00:00,Active,,10.1,0.0175
152,Pamela Phillips,942,Lead,2019-12-02 00:00:00,Active,,5.87,0.06
153,Joseph Phillips,942,Ambassador,2018-12-02 00:00:00,Active,,6.87,0.035
154,Justin Murphy,942,Cashier,2023-03-20 00:00:00,Active,,2.58,0.0125
155,Patricia Cox,870,Ambassador,2021-08-04 00:00:00,Active,,4.2,0.03
156,Daniel Mitchell,870,Cashier,2017-08-29 00:00:00,Active,,8.13,0.0175
157,Anthony Brown,870,Ambassador,2022-05-17 00:00:00,Terminated,2024-05-16 00:00:00,3.42,0.03
158,Amy Garcia,870,Lead,2021-07-31 00:00:00,Active,,4.21,0.05
159,Thomas Mitchell,870,Senior Ambassador,2020-06-15 00:00:00,Active,,5.34,0.045
160,Pamela Murphy,870,Lead,2016-08-27 00:00:00,Active,,9.14,0.06
161,Ashley Howard,870,Senior Ambassador,2016-06-19 00:00:00,Active,,9.33,0.045
162,Larry Cook,870,Ambassador,2019-11-06 00:00:00,Active,,5.94,0.035
163,Emily Martinez,870,Ambassador,2023-11-08 00:00:00,Active,,1.94,0.025
164,Laura Hernandez,870,Ambassador,2021-04-15 00:00:00,Active,,4.5,0.03
165,Linda Torres,250,Ambassador,2015-10-24 00:00:00,Active,,9.98,0.035
166,Nancy Collins,250,Cashier,2018-08-07 00:00:00,Terminated,2020-01-18 00:00:00,7.19,0.0175
167,Nancy Morris,250,Cashier,2018-03-31 00:00:00,Active,,7.55,0.0175
168,Patricia Ramos,250,Ambassador,2017-03-15 00:00:00,Active,,8.59,0.035
169,Stephen Thomas,250,Senior Ambassador,2024-05-31 00:00:00,Active,,1.38,0.035
170,Christopher Rivera,250,Cashier,2022-07-30 00:00:00,Active,,3.21,0.015
171,Michelle Mitchell,250,Cashier,2022-11-22 00:00:00,Terminated,2024-05-15 00:00:00,2.9,0.0125
172,Eric Wright,250,Cashier,2017-01-10 00:00:00,Active,,8.76,0.0175
173,John Lopez,250,Ambassador,2014-04-06 00:00:00,Terminated,2019-05-08 00:00:00,11.53,0.035
174,Lisa Davis,852,Cashier,2023-11-23 00:00:00,Active,,1.9,0.0125
175,Nancy Reyes,852,Senior Ambassador,2020-03-15 00:00:00,Active,,5.59,0.045
176,Kimberly Taylor,852,Cashier,2018-11-08 00:00:00,Active,,6.94,0.0175
177,Deborah Peterson,852,Ambassador,2023-04-06 00:00:00,Active,,2.53,0.025
178,George Lee,852,Cashier,2019-05-25 00:00:00,Terminated,2022-04-23 00:00:00,6.4,0.0175
179,Gary Edwards,270,Ambassador,2023-10-26 00:00:00,Active,,1.97,0.025
180,Daniel Phillips,270,Cashier,2021-06-25 00:00:00,Active,,4.31,0.015
181,Eric Kim,270,Lead,2022-02-02 00:00:00,Active,,3.7,0.05
182,Eric Wilson,270,Ambassador,2021-05-05 00:00:00,Active,,4.45,0.03
183,Lisa White,270,Cashier,2024-03-15 00:00:00,Active,,1.59,0.0125
184,Sarah Torres,270,Ambassador,2025-08-23 00:00:00,Active,,0.15,0.02
185,Sharon Wright,270,Ambassador,2023-11-08 00:00:00,Active,,1.94,0.025
186,Sarah King,270,Ambassador,2024-05-13 00:00:00,Terminated,2025-07-12 00:00:00,1.43,0.025
187,Jennifer Johnson,270,Cashier,2025-01-08 00:00:00,Active,,0.77,0.01
188,Brenda Reed,270,Cashier,2023-01-11 00:00:00,Active,,2.76,0.0125
189,Edward Clark,270,Cashier,2025-09-12 00:00:00,Active,,0.09,0.01
190,David Anderson,902,Cashier,2024-12-15 00:00:00,Active,,0.84,0.01
191,Sharon Robinson,902,Ambassador,2024-07-18 00:00:00,Active,,1.25,0.025
192,Mary Hill,902,Cashier,2024-06-23 00:00:00,Active,,1.31,0.0125
193,Ryan Robinson,902,Cashier,2023-08-06 00:00:00,Active,,2.2,0.0125
194,Stephen Martin,902,Cashier,2022-09-05 00:00:00,Terminated,2025-01-31 00:00:00,3.11,0.015
195,Rebecca Nelson,649,Cashier,2014-04-09 00:00:00,Terminated,2015-07-12 00:00:00,11.52,0.0175
196,George Murphy,649,Cashier,2014-04-22 00:00:00,Active,,11.49,0.0175
197,David Cooper,649,Cashier,2014-08-10 00:00:00,Active,,11.18,0.0175
198,Timothy Cruz,649,Senior Ambassador,2024-02-24 00:00:00,Active,,1.64,0.035
199,Ashley Gomez,649,Ambassador,2022-06-21 00:00:00,Active,,3.32,0.03
200,Laura King,649,Ambassador,2016-02-10 00:00:00,Active,,9.68,0.035
201,Deborah Clark,649,Ambassador,2014-04-05 00:00:00,Active,,11.53,0.035
202,Sharon Cruz,649,Lead,2017-03-24 00:00:00,Terminated,2019-05-16 00:00:00,8.56,0.06
203,Ryan Wilson,649,Lead,2018-07-12 00:00:00,Active,,7.26,0.06
204,Jonathan Reyes,303,Ambassador,2021-07-05 00:00:00,Terminated,2022-11-13 00:00:00,4.28,0.03
205,Emily Carter,303,Ambassador,2024-08-10 00:00:00,Active,,1.18,0.025
206,Brandon Hernandez,303,Senior Ambassador,2019-10-03 00:00:00,Active,,6.04,0.045
207,Anna Miller,303,Cashier,2016-04-19 00:00:00,Active,,9.49,0.0175
208,Kimberly Green,303,Cashier,2016-10-12 00:00:00,Active,,9.01,0.0175
209,George Davis,303,Cashier,2025-06-16 00:00:00,Active,,0.33,0.01
210,Christopher Adams,303,Senior Ambassador,2015-03-23 00:00:00,Active,,10.57,0.045
211,Jennifer Green,953,Senior Ambassador,2013-10-31 00:00:00,Active,,11.96,0.045
212,Jason Turner,953,Ambassador,2021-03-18 00:00:00,Active,,4.58,0.03
213,Edward Jones,953,Cashier,2016-10-15 00:00:00,Active,,9.0,0.0175
214,Jonathan White,953,Cashier,2019-03-18 00:00:00,Active,,6.58,0.0175
215,Jason Wilson,953,Ambassador,2013-04-20 00:00:00,Terminated,2019-11-25 00:00:00,12.49,0.035
216,Carol Stewart,625,Ambassador,2019-02-11 00:00:00,Terminated,2019-12-22 00:00:00,6.68,0.035
217,Barbara Stewart,625,Ambassador,2020-12-16 00:00:00,Active,,4.83,0.03
218,Paul Ortiz,625,Cashier,2021-03-22 00:00:00,Terminated,2024-05-31 00:00:00,4.57,0.015
219,David Garcia,625,Ambassador,2020-08-03 00:00:00,Terminated,2023-05-25 00:00:00,5.2,0.035
220,Laura Williams,625,Ambassador,2023-10-02 00:00:00,Active,,2.04,0.025
221,Nancy Jones,625,Cashier,2024-08-28 00:00:00,Active,,1.13,0.0125
222,Paul Martinez,625,Cashier,2022-12-16 00:00:00,Active,,2.83,0.0125
223,Jonathan Ortiz,625,Cashier,2024-01-11 00:00:00,Active,,1.76,0.0125
224,Karen Rivera,267,Cashier,2021-12-16 00:00:00,Terminated,2024-07-22 00:00:00,3.83,0.015
225,Jonathan Rivera,267,Cashier,2023-12-26 00:00:00,Active,,1.81,0.0125
226,Christopher Thomas,267,Ambassador,2022-05-14 00:00:00,Active,,3.43,0.03
227,Ryan Gonzalez,267,Ambassador,2024-11-13 00:00:00,Terminated,2025-04-09 00:00:00,0.92,0.02
228,Brandon Nguyen,267,Cashier,2025-07-06 00:00:00,Active,,0.28,0.01
229,Brenda Martinez,267,Cashier,2022-02-28 00:00:00,Active,,3.63,0.015
230,Kevin Collins,267,Senior Ambassador,2023-04-21 00:00:00,Terminated,2024-08-08 00:00:00,2.49,0.035
231,Jason Green,267,Cashier,2020-12-30 00:00:00,Active,,4.79,0.015
232,Jason Gonzalez,267,Senior Ambassador,2020-09-21 00:00:00,Terminated,2021-11-01 00:00:00,5.07,0.045
233,Susan Martin,267,Cashier,2024-11-25 00:00:00,Active,,0.89,0.01
234,Nancy Wilson,768,Ambassador,2021-02-25 00:00:00,Terminated,2023-05-24 00:00:00,4.64,0.03
235,Anna Gutierrez,768,Cashier,2019-05-06 00:00:00,Active,,6.45,0.0175
236,Daniel Reed,768,Cashier,2020-09-17 00:00:00,Active,,5.08,0.0175
237,Patricia Robinson,768,Ambassador,2020-02-29 00:00:00,Active,,5.63,0.035
238,Eric Gonzalez,768,Ambassador,2020-05-04 00:00:00,Active,,5.45,0.035
239,William Gutierrez,768,Senior Ambassador,2021-05-06 00:00:00,Active,,4.45,0.04
240,Larry Morales,768,Cashier,2019-05-12 00:00:00,Terminated,2020-02-10 00:00:00,6.43,0.0175
241,Cynthia King,768,Ambassador,2021-12-04 00:00:00,Active,,3.87,0.03
242,Amy Miller,768,Cashier,2024-12-30 00:00:00,Active,,0.79,0.01
243,Nicholas King,768,Cashier,2015-10-02 00:00:00,Active,,10.04,0.0175
244,Jason Peterson,768,Senior Ambassador,2016-11-11 00:00:00,Active,,8.93,0.045
245,Kathleen Morales,383,Cashier,2023-10-30 00:00:00,Terminated,2025-05-14 00:00:00,1.96,0.0125
246,Ashley Richardson,383,Ambassador,2017-02-15 00:00:00,Active,,8.67,0.035
247,Donna Gutierrez,383,Senior Ambassador,2016-11-22 00:00:00,Active,,8.9,0.045
248,Stephanie Clark,383,Cashier,2015-10-03 00:00:00,Terminated,2017-05-12 00:00:00,10.04,0.0175
249,Andrew Kim,383,Ambassador,2015-06-15 00:00:00,Active,,10.34,0.035
250,Richard Kim,383,Senior Ambassador,2017-04-09 00:00:00,Terminated,2024-07-11 00:00:00,8.52,0.045
251,Jennifer Edwards,383,Ambassador,2015-06-14 00:00:00,Active,,10.34,0.035
252,Shirley Collins,383,Senior Ambassador,2016-08-15 00:00:00,Terminated,2016-10-31 00:00:00,9.17,0.045
253,Brenda Robinson,383,Senior Ambassador,2022-04-10 00:00:00,Active,,3.52,0.04
254,Linda Kim,491,Ambassador,2021-11-09 00:00:00,Active,,3.93,0.03
255,Rebecca White,491,Cashier,2023-09-30 00:00:00,Active,,2.05,0.0125
256,Donald Harris,491,Ambassador,2023-04-30 00:00:00,Active,,2.46,0.025
257,Jason Anderson,491,Ambassador,2023-06-10 00:00:00,Active,,2.35,0.025
258,John Reed,491,Cashier,2021-03-02 00:00:00,Active,,4.62,0.015
259,Ashley Ward,491,Senior Ambassador,2022-09-24 00:00:00,Terminated,2024-07-19 00:00:00,3.06,0.04
260,Barbara Nguyen,491,Cashier,2025-02-07 00:00:00,Terminated,2025-10-06 00:00:00,0.69,0.01
261,Jonathan Taylor,491,Cashier,2024-06-29 00:00:00,Active,,1.3,0.0125
262,Jennifer White,858,Cashier,2020-03-07 00:00:00,Active,,5.61,0.0175
263,Kenneth Baker,858,Cashier,2012-02-21 00:00:00,Active,,13.65,0.0175
264,Eric Lopez,858,Cashier,2014-04-22 00:00:00,Active,,11.49,0.0175
265,Kenneth Lewis,858,Ambassador,2025-06-24 00:00:00,Active,,0.31,0.02
266,Sandra Phillips,858,Cashier,2011-01-17 00:00:00,Active,,14.75,0.0175
267,Gary Ward,795,Ambassador,2019-05-09 00:00:00,Active,,6.44,0.035
268,Sandra Baker,795,Ambassador,2016-01-09 00:00:00,Terminated,2021-07-20 00:00:00,9.77,0.035
269,Barbara Young,795,Cashier,2023-03-03 00:00:00,Active,,2.62,0.0125
270,Matthew Nguyen,795,Senior Ambassador,2022-03-31 00:00:00,Active,,3.55,0.04
271,John Cox,795,Ambassador,2021-11-20 00:00:00,Terminated,2025-07-15 00:00:00,3.9,0.03
272,Deborah Miller,795,Cashier,2019-09-20 00:00:00,Active,,6.07,0.0175
273,Linda Gomez,417,Ambassador,2022-05-18 00:00:00,Active,,3.41,0.03
274,Amanda Johnson,417,Ambassador,2019-02-03 00:00:00,Active,,6.7,0.035
275,Charles Allen,417,Ambassador,2018-04-25 00:00:00,Active,,7.48,0.035
276,Joshua Murphy,417,Cashier,2024-01-28 00:00:00,Terminated,2024-07-16 00:00:00,1.72,0.0125
277,Charles Mitchell,417,Senior Ambassador,2023-10-29 00:00:00,Active,,1.97,0.035
278,Margaret Mitchell,417,Cashier,2023-08-13 00:00:00,Active,,2.18,0.0125
279,Christopher Cruz,417,Senior Ambassador,2024-06-01 00:00:00,Active,,1.37,0.035
280,Timothy Lopez,417,Cashier,2020-03-30 00:00:00,Active,,5.55,0.0175
281,Linda Anderson,425,Ambassador,2016-11-29 00:00:00,Terminated,2025-01-18 00:00:00,8.88,0.035
282,Nicole Jackson,425,Lead,2022-09-09 00:00:00,Active,,3.1,0.05
283,Jason Mitchell,425,Cashier,2024-04-02 00:00:00,Terminated,2024-04-28 00:00:00,1.54,0.0125
284,Richard Lopez,425,Ambassador,2021-04-16 00:00:00,Active,,4.5,0.03
285,Ryan Cox,425,Senior Ambassador,2023-11-23 00:00:00,Active,,1.9,0.035
286,Gary Williams,450,Cashier,2016-07-16 00:00:00,Active,,9.25,0.0175
287,Kathleen Rodriguez,450,Cashier,2022-08-26 00:00:00,Active,,3.14,0.015
288,Susan Reyes,450,Senior Ambassador,2014-10-13 00:00:00,Terminated,2024-12-15 00:00:00,11.01,0.045
289,Angela Cox,450,Ambassador,2024-03-30 00:00:00,Active,,1.55,0.025
290,Kimberly Torres,450,Ambassador,2014-03-02 00:00:00,Terminated,2016-03-10 00:00:00,11.63,0.035
291,Melissa Rivera,450,Cashier,2019-06-14 00:00:00,Terminated,2021-02-23 00:00:00,6.34,0.0175
292,George Johnson,450,Cashier,2020-10-06 00:00:00,Active,,5.03,0.0175
293,Brandon Gonzalez,96,Cashier,2020-08-03 00:00:00,Active,,5.2,0.0175
294,Joshua Robinson,96,Senior Ambassador,2019-02-20 00:00:00,Active,,6.65,0.045
295,Laura Campbell,96,Cashier,2022-07-07 00:00:00,Active,,3.28,0.015
296,Shirley Diaz,96,Cashier,2017-07-29 00:00:00,Terminated,2024-04-04 00:00:00,8.22,0.0175
297,Ashley Morgan,96,Cashier,2016-06-29 00:00:00,Terminated,2017-03-10 00:00:00,9.3,0.0175
