Employee Key,Employee Name,Employee Type,Store Key,Store Area,Store Region,Reports To Key,Hire Date,Employment Status,Termination Date,Tenure Years,Compensation Type,Commission Rate,Annual Salary
21,Jeffrey Hernandez,Ambassador,725.0,,,1643,2017-07-15 00:00:00,Active,,8.26,Commission,0.035,
22,Anthony White,Cashier,725.0,,,1643,2011-08-07 00:00:00,Active,,14.19,Commission,0.0175,
23,Nicole Martin,Cashier,725.0,,,1643,2024-09-30 00:00:00,Active,,1.04,Commission,0.0125,
24,Pamela Cox,Lead,725.0,,,1643,2020-01-09 00:00:00,Active,,5.77,Commission,0.06,
25,Anna Davis,Ambassador,725.0,,,1643,2023-04-22 00:00:00,Active,,2.49,Commission,0.025,
26,Brenda Moore,Lead,725.0,,,1643,2013-05-25 00:00:00,Active,,12.39,Commission,0.06,
27,Barbara Baker,Ambassador,6.0,,,1644,2014-04-29 00:00:00,Active,,11.47,Commission,0.035,
28,Stephanie Allen,Senior Ambassador,6.0,,,1644,2023-09-07 00:00:00,Terminated,2025-06-26 00:00:00,2.11,Commission,0.035,
29,Betty Cox,Cashier,6.0,,,1644,2024-02-06 00:00:00,Terminated,2025-03-11 00:00:00,1.69,Commission,0.0125,
30,Jonathan Anderson,Ambassador,6.0,,,1644,2017-07-22 00:00:00,Terminated,2024-02-16 00:00:00,8.24,Commission,0.035,
31,Scott Campbell,Cashier,6.0,,,1644,2013-07-28 00:00:00,Active,,12.22,Commission,0.0175,
32,Helen Williams,Cashier,6.0,,,1644,2012-11-30 00:00:00,Active,,12.88,Commission,0.0175,
33,Ronald Garcia,Cashier,6.0,,,1644,2013-06-21 00:00:00,Active,,12.32,Commission,0.0175,
34,Cynthia Edwards,Senior Ambassador,6.0,,,1644,2020-10-03 00:00:00,Active,,5.04,Commission,0.045,
35,Cynthia Allen,Ambassador,6.0,,,1644,2020-07-14 00:00:00,Active,,5.26,Commission,0.035,
36,Carol Gonzalez,Ambassador,6.0,,,1644,2023-03-30 00:00:00,Active,,2.55,Commission,0.025,
37,Eric Miller,Cashier,192.0,,,1645,2021-05-07 00:00:00,Active,,4.44,Commission,0.015,
38,Matthew Perez,Cashier,192.0,,,1645,2025-06-15 00:00:00,Active,,0.34,Commission,0.01,
39,John Sanchez,Ambassador,192.0,,,1645,2021-07-15 00:00:00,Active,,4.26,Commission,0.03,
40,Kimberly Rogers,Senior Ambassador,192.0,,,1645,2024-04-12 00:00:00,Active,,1.51,Commission,0.035,
41,Eric Walker,Ambassador,192.0,,,1645,2023-04-29 00:00:00,Active,,2.47,Commission,0.025,
42,Margaret Robinson,Cashier,192.0,,,1645,2022-04-29 00:00:00,Active,,3.47,Commission,0.015,
43,Linda Bailey,Ambassador,192.0,,,1645,2021-11-11 00:00:00,Active,,3.93,Commission,0.03,
44,Laura Lopez,Cashier,178.0,,,1646,2023-04-12 00:00:00,Active,,2.51,Commission,0.0125,
45,Timothy Rivera,Ambassador,178.0,,,1646,2018-11-20 00:00:00,Terminated,2020-06-05 00:00:00,6.91,Commission,0.035,
46,Amanda Kim,Cashier,178.0,,,1646,2024-12-25 00:00:00,Active,,0.81,Commission,0.01,
47,Amanda Murphy,Senior Ambassador,178.0,,,1646,2019-07-06 00:00:00,Active,,6.28,Commission,0.045,
48,Melissa Reyes,Ambassador,178.0,,,1646,2025-09-20 00:00:00,Terminated,2025-10-06 00:00:00,0.07,Commission,0.02,
49,Nicholas Richardson,Cashier,498.0,,,1647,2018-10-01 00:00:00,Active,,7.04,Commission,0.0175,
50,Ashley Roberts,Cashier,498.0,,,1647,2017-02-08 00:00:00,Terminated,2025-10-07 00:00:00,8.68,Commission,0.0175,
51,Jennifer Clark,Ambassador,498.0,,,1647,2024-02-07 00:00:00,Active,,1.69,Commission,0.025,
52,Kimberly Hill,Ambassador,498.0,,,1647,2020-04-14 00:00:00,Terminated,2025-06-23 00:00:00,5.51,Commission,0.035,
53,Brian Roberts,Lead,498.0,,,1647,2020-06-11 00:00:00,Active,,5.35,Commission,0.06,
54,Emma Williams,Ambassador,498.0,,,1647,2021-03-27 00:00:00,Terminated,2025-08-04 00:00:00,4.56,Commission,0.03,
55,Donna Phillips,Ambassador,498.0,,,1647,2024-10-05 00:00:00,Active,,1.03,Commission,0.025,
56,Nancy Gomez,Senior Ambassador,498.0,,,1647,2015-07-13 00:00:00,Active,,10.26,Commission,0.045,
57,Susan Taylor,Cashier,498.0,,,1647,2025-10-02 00:00:00,Terminated,2025-10-14 00:00:00,0.04,Commission,0.01,
58,Donald Thompson,Cashier,498.0,,,1647,2018-06-15 00:00:00,Active,,7.34,Commission,0.0175,
59,Jonathan Nelson,Cashier,589.0,,,1648,2017-02-02 00:00:00,Terminated,2022-06-26 00:00:00,8.7,Commission,0.0175,
60,Mary Cox,Senior Ambassador,589.0,,,1648,2018-09-18 00:00:00,Terminated,2024-04-13 00:00:00,7.08,Commission,0.045,
61,David Rogers,Ambassador,589.0,,,1648,2012-08-19 00:00:00,Active,,13.16,Commission,0.035,
62,Lisa Anderson,Cashier,589.0,,,1648,2015-03-23 00:00:00,Active,,10.57,Commission,0.0175,
63,Jennifer Parker,Ambassador,589.0,,,1648,2012-02-28 00:00:00,Active,,13.63,Commission,0.035,
64,Brenda Adams,Ambassador,589.0,,,1648,2017-03-06 00:00:00,Terminated,2023-05-24 00:00:00,8.61,Commission,0.035,
65,Nicholas Ramos,Cashier,589.0,,,1648,2021-09-23 00:00:00,Active,,4.06,Commission,0.015,
66,Andrew Collins,Cashier,589.0,,,1648,2020-09-29 00:00:00,Active,,5.05,Commission,0.0175,
67,James Flores,Ambassador,589.0,,,1648,2015-03-08 00:00:00,Active,,10.61,Commission,0.035,
68,Nancy Thomas,Ambassador,589.0,,,1648,2021-07-11 00:00:00,Active,,4.27,Commission,0.03,
69,Mark Miller,Senior Ambassador,589.0,,,1648,2019-11-22 00:00:00,Active,,5.9,Commission,0.045,
70,Ronald Wilson,Ambassador,36.0,,,1649,2023-12-31 00:00:00,Active,,1.79,Commission,0.025,
71,Stephanie Ramirez,Lead,36.0,,,1649,2015-06-27 00:00:00,Active,,10.31,Commission,0.06,
72,Eric Ramirez,Cashier,36.0,,,1649,2025-08-19 00:00:00,Active,,0.16,Commission,0.01,
73,George Ward,Ambassador,36.0,,,1649,2014-11-10 00:00:00,Active,,10.93,Commission,0.035,
74,Kevin Cox,Senior Ambassador,36.0,,,1649,2013-11-03 00:00:00,Terminated,2024-08-27 00:00:00,11.95,Commission,0.045,
75,Joshua Campbell,Cashier,36.0,,,1649,2014-02-25 00:00:00,Terminated,2015-04-12 00:00:00,11.64,Commission,0.0175,
76,Scott Johnson,Cashier,318.0,,,1650,2022-06-26 00:00:00,Active,,3.31,Commission,0.015,
77,Thomas Green,Ambassador,318.0,,,1650,2022-11-01 00:00:00,Active,,2.96,Commission,0.025,
78,Jeffrey Campbell,Ambassador,318.0,,,1650,2021-03-11 00:00:00,Active,,4.6,Commission,0.03,
79,Jonathan Green,Ambassador,318.0,,,1650,2024-06-08 00:00:00,Active,,1.36,Commission,0.025,
80,Jennifer Martinez,Ambassador,318.0,,,1650,2022-09-06 00:00:00,Active,,3.11,Commission,0.03,
81,John Cooper,Cashier,269.0,,,1651,2022-08-31 00:00:00,Terminated,2024-08-20 00:00:00,3.13,Commission,0.015,
82,Amanda Morales,Senior Ambassador,269.0,,,1651,2022-07-11 00:00:00,Active,,3.27,Commission,0.04,
83,Lisa Morgan,Ambassador,269.0,,,1651,2021-05-09 00:00:00,Terminated,2024-02-07 00:00:00,4.44,Commission,0.03,
84,Eric Campbell,Cashier,269.0,,,1651,2025-07-13 00:00:00,Terminated,2025-09-13 00:00:00,0.26,Commission,0.01,
85,Andrew Taylor,Cashier,269.0,,,1651,2022-06-05 00:00:00,Active,,3.37,Commission,0.015,
86,Michelle Gutierrez,Cashier,269.0,,,1651,2022-06-21 00:00:00,Terminated,2023-12-20 00:00:00,3.32,Commission,0.015,
87,Kathleen Garcia,Ambassador,269.0,,,1651,2021-11-11 00:00:00,Active,,3.93,Commission,0.03,
88,Nicholas Smith,Lead,269.0,,,1651,2022-04-16 00:00:00,Active,,3.5,Commission,0.05,
89,Jason Lee,Cashier,269.0,,,1651,2025-05-04 00:00:00,Active,,0.45,Commission,0.01,
90,Joshua Perez,Cashier,269.0,,,1651,2024-10-16 00:00:00,Active,,1.0,Commission,0.0125,
91,Pamela Wright,Senior Ambassador,375.0,,,1652,2022-01-14 00:00:00,Active,,3.75,Commission,0.04,
92,Karen Stewart,Cashier,375.0,,,1652,2024-03-19 00:00:00,Active,,1.58,Commission,0.0125,
93,Patricia Cook,Cashier,375.0,,,1652,2025-09-25 00:00:00,Active,,0.06,Commission,0.01,
94,Scott Collins,Senior Ambassador,375.0,,,1652,2022-08-25 00:00:00,Active,,3.14,Commission,0.04,
95,Helen Evans,Ambassador,375.0,,,1652,2020-01-07 00:00:00,Active,,5.77,Commission,0.035,
96,Deborah Howard,Cashier,375.0,,,1652,2020-08-07 00:00:00,Active,,5.19,Commission,0.0175,
97,Scott Lee,Cashier,375.0,,,1652,2023-01-20 00:00:00,Terminated,2025-03-03 00:00:00,2.74,Commission,0.0125,
98,Sandra Johnson,Cashier,375.0,,,1652,2019-10-04 00:00:00,Active,,6.03,Commission,0.0175,
99,Karen Torres,Cashier,375.0,,,1652,2024-12-03 00:00:00,Active,,0.87,Commission,0.01,
100,Susan Lopez,Ambassador,375.0,,,1652,2021-06-28 00:00:00,Terminated,2022-02-09 00:00:00,4.3,Commission,0.03,
101,James Miller,Cashier,758.0,,,1653,2013-05-30 00:00:00,Active,,12.38,Commission,0.0175,
102,Carol Miller,Cashier,758.0,,,1653,2021-12-08 00:00:00,Active,,3.86,Commission,0.015,
103,Shirley Hill,Cashier,758.0,,,1653,2024-07-02 00:00:00,Active,,1.29,Commission,0.0125,
104,Cynthia Brown,Cashier,758.0,,,1653,2023-07-13 00:00:00,Active,,2.26,Commission,0.0125,
105,Donald Rogers,Senior Ambassador,758.0,,,1653,2016-07-05 00:00:00,Active,,9.28,Commission,0.045,
106,Jessica Howard,Cashier,758.0,,,1653,2023-09-06 00:00:00,Active,,2.11,Commission,0.0125,
107,Matthew Ramos,Cashier,758.0,,,1653,2018-04-23 00:00:00,Active,,7.48,Commission,0.0175,
108,Jonathan Lee,Lead,758.0,,,1653,2017-07-26 00:00:00,Active,,8.22,Commission,0.06,
109,Thomas Phillips,Cashier,831.0,,,1654,2018-12-28 00:00:00,Active,,6.8,Commission,0.0175,
110,James Peterson,Ambassador,831.0,,,1654,2023-08-07 00:00:00,Active,,2.19,Commission,0.025,
111,Robert Reyes,Cashier,831.0,,,1654,2018-10-28 00:00:00,Active,,6.97,Commission,0.0175,
112,Brenda Cox,Ambassador,831.0,,,1654,2019-07-03 00:00:00,Active,,6.29,Commission,0.035,
113,Christopher Brown,Cashier,831.0,,,1654,2022-10-23 00:00:00,Active,,2.98,Commission,0.0125,
114,Christopher Moore,Senior Ambassador,831.0,,,1654,2020-09-08 00:00:00,Active,,5.1,Commission,0.045,
115,Karen Kim,Ambassador,831.0,,,1654,2018-12-03 00:00:00,Terminated,2025-01-31 00:00:00,6.87,Commission,0.035,
116,Deborah Williams,Ambassador,831.0,,,1654,2018-01-30 00:00:00,Active,,7.71,Commission,0.035,
117,Carol Harris,Cashier,831.0,,,1654,2018-01-04 00:00:00,Active,,7.78,Commission,0.0175,
118,Jennifer Jones,Cashier,508.0,,,1655,2017-04-23 00:00:00,Active,,8.48,Commission,0.0175,
119,Sharon Carter,Cashier,508.0,,,1655,2019-12-20 00:00:00,Active,,5.82,Commission,0.0175,
120,Pamela Wilson,Cashier,508.0,,,1655,2023-01-27 00:00:00,Terminated,2024-03-26 00:00:00,2.72,Commission,0.0125,
121,Anna Hill,Cashier,508.0,,,1655,2023-04-09 00:00:00,Active,,2.52,Commission,0.0125,
122,Richard Rivera,Lead,508.0,,,1655,2017-07-17 00:00:00,Active,,8.25,Commission,0.06,
123,Jeffrey Adams,Lead,508.0,,,1655,2020-01-27 00:00:00,Terminated,2022-04-28 00:00:00,5.72,Commission,0.06,
124,Brian Wright,Ambassador,508.0,,,1655,2022-05-07 00:00:00,Active,,3.44,Commission,0.03,
125,Ronald White,Ambassador,508.0,,,1655,2015-11-26 00:00:00,Active,,9.89,Commission,0.035,
126,Ronald Reed,Cashier,508.0,,,1655,2024-12-29 00:00:00,Active,,0.8,Commission,0.01,
127,Shirley Anderson,Ambassador,508.0,,,1655,2024-07-21 00:00:00,Active,,1.24,Commission,0.025,
128,Melissa Scott,Cashier,508.0,,,1655,2024-06-10 00:00:00,Active,,1.35,Commission,0.0125,
129,Ronald Reyes,Ambassador,118.0,,,1656,2023-09-13 00:00:00,Terminated,2024-09-13 00:00:00,2.09,Commission,0.025,
130,Paul Gutierrez,Ambassador,118.0,,,1656,2018-03-13 00:00:00,Active,,7.6,Commission,0.035,
131,Carol Baker,Ambassador,118.0,,,1656,2024-04-19 00:00:00,Terminated,2024-05-30 00:00:00,1.49,Commission,0.025,
132,Stephanie Reyes,Ambassador,118.0,,,1656,2025-09-06 00:00:00,Active,,0.11,Commission,0.02,
133,Charles Miller,Cashier,118.0,,,1656,2021-03-31 00:00:00,Active,,4.55,Commission,0.015,
134,Stephen Garcia,Lead,118.0,,,1656,2022-05-15 00:00:00,Active,,3.42,Commission,0.05,
135,Andrew Torres,Ambassador,184.0,,,1657,2024-03-26 00:00:00,Active,,1.56,Commission,0.025,
136,Stephanie Young,Cashier,184.0,,,1657,2019-06-10 00:00:00,Active,,6.35,Commission,0.0175,
137,Kevin Adams,Cashier,184.0,,,1657,2025-04-13 00:00:00,Terminated,2025-09-05 00:00:00,0.51,Commission,0.01,
138,Charles Ward,Senior Ambassador,184.0,,,1657,2024-08-10 00:00:00,Terminated,2024-12-01 00:00:00,1.18,Commission,0.035,
139,Margaret Turner,Cashier,184.0,,,1657,2025-09-02 00:00:00,Active,,0.12,Commission,0.01,
140,Emily Miller,Senior Ambassador,184.0,,,1657,2024-09-25 00:00:00,Active,,1.06,Commission,0.035,
141,Sandra Ortiz,Ambassador,184.0,,,1657,2020-08-05 00:00:00,Active,,5.2,Commission,0.035,
142,Nancy Robinson,Cashier,544.0,,,1658,2017-05-02 00:00:00,Terminated,2024-01-24 00:00:00,8.46,Commission,0.0175,
143,Jennifer Williams,Cashier,544.0,,,1658,2024-01-11 00:00:00,Active,,1.76,Commission,0.0125,
144,Anthony Green,Cashier,544.0,,,1658,2018-10-03 00:00:00,Terminated,2022-04-06 00:00:00,7.04,Commission,0.0175,
145,Shirley Stewart,Senior Ambassador,544.0,,,1658,2019-09-19 00:00:00,Active,,6.08,Commission,0.045,
146,Larry Williams,Cashier,544.0,,,1658,2019-03-28 00:00:00,Active,,6.55,Commission,0.0175,
147,Nicholas Rivera,Cashier,942.0,,,1659,2018-08-08 00:00:00,Terminated,2018-08-19 00:00:00,7.19,Commission,0.0175,
148,Jennifer Nelson,Cashier,942.0,,,1659,2017-10-28 00:00:00,Terminated,2020-08-27 00:00:00,7.97,Commission,0.0175,
149,Anthony Davis,Cashier,942.0,,,1659,2015-05-29 00:00:00,Active,,10.39,Commission,0.0175,
150,Karen Morris,Cashier,942.0,,,1659,2015-10-25 00:00:00,Active,,9.98,Commission,0.0175,
151,Donna Hall,Cashier,942.0,,,1659,2015-09-11 00:00:00,Active,,10.1,Commission,0.0175,
152,Pamela Phillips,Lead,942.0,,,1659,2019-12-02 00:00:00,Active,,5.87,Commission,0.06,
153,Joseph Phillips,Ambassador,942.0,,,1659,2018-12-02 00:00:00,Active,,6.87,Commission,0.035,
154,Justin Murphy,Cashier,942.0,,,1659,2023-03-20 00:00:00,Active,,2.58,Commission,0.0125,
155,Patricia Cox,Ambassador,870.0,,,1660,2021-08-04 00:00:00,Active,,4.2,Commission,0.03,
156,Daniel Mitchell,Cashier,870.0,,,1660,2017-08-29 00:00:00,Active,,8.13,Commission,0.0175,
157,Anthony Brown,Ambassador,870.0,,,1660,2022-05-17 00:00:00,Terminated,2024-05-16 00:00:00,3.42,Commission,0.03,
158,Amy Garcia,Lead,870.0,,,1660,2021-07-31 00:00:00,Active,,4.21,Commission,0.05,
159,Thomas Mitchell,Senior Ambassador,870.0,,,1660,2020-06-15 00:00:00,Active,,5.34,Commission,0.045,
160,Pamela Murphy,Lead,870.0,,,1660,2016-08-27 00:00:00,Active,,9.14,Commission,0.06,
161,Ashley Howard,Senior Ambassador,870.0,,,1660,2016-06-19 00:00:00,Active,,9.33,Commission,0.045,
162,Larry Cook,Ambassador,870.0,,,1660,2019-11-06 00:00:00,Active,,5.94,Commission,0.035,
163,Emily Martinez,Ambassador,870.0,,,1660,2023-11-08 00:00:00,Active,,1.94,Commission,0.025,
164,Laura Hernandez,Ambassador,870.0,,,1660,2021-04-15 00:00:00,Active,,4.5,Commission,0.03,
165,Linda Torres,Ambassador,250.0,,,1661,2015-10-24 00:00:00,Active,,9.98,Commission,0.035,
166,Nancy Collins,Cashier,250.0,,,1661,2018-08-07 00:00:00,Terminated,2020-01-18 00:00:00,7.19,Commission,0.0175,
167,Nancy Morris,Cashier,250.0,,,1661,2018-03-31 00:00:00,Active,,7.55,Commission,0.0175,
168,Patricia Ramos,Ambassador,250.0,,,1661,2017-03-15 00:00:00,Active,,8.59,Commission,0.035,
169,Stephen Thomas,Senior Ambassador,250.0,,,1661,2024-05-31 00:00:00,Active,,1.38,Commission,0.035,
170,Christopher Rivera,Cashier,250.0,,,1661,2022-07-30 00:00:00,Active,,3.21,Commission,0.015,
171,Michelle Mitchell,Cashier,250.0,,,1661,2022-11-22 00:00:00,Terminated,2024-05-15 00:00:00,2.9,Commission,0.0125,
172,Eric Wright,Cashier,250.0,,,1661,2017-01-10 00:00:00,Active,,8.76,Commission,0.0175,
173,John Lopez,Ambassador,250.0,,,1661,2014-04-06 00:00:00,Terminated,2019-05-08 00:00:00,11.53,Commission,0.035,
174,Lisa Davis,Cashier,852.0,,,1662,2023-11-23 00:00:00,Active,,1.9,Commission,0.0125,
175,Nancy Reyes,Senior Ambassador,852.0,,,1662,2020-03-15 00:00:00,Active,,5.59,Commission,0.045,
176,Kimberly Taylor,Cashier,852.0,,,1662,2018-11-08 00:00:00,Active,,6.94,Commission,0.0175,
177,Deborah Peterson,Ambassador,852.0,,,1662,2023-04-06 00:00:00,Active,,2.53,Commission,0.025,
178,George Lee,Cashier,852.0,,,1662,2019-05-25 00:00:00,Terminated,2022-04-23 00:00:00,6.4,Commission,0.0175,
179,Gary Edwards,Ambassador,270.0,,,1663,2023-10-26 00:00:00,Active,,1.97,Commission,0.025,
180,Daniel Phillips,Cashier,270.0,,,1663,2021-06-25 00:00:00,Active,,4.31,Commission,0.015,
181,Eric Kim,Lead,270.0,,,1663,2022-02-02 00:00:00,Active,,3.7,Commission,0.05,
182,Eric Wilson,Ambassador,270.0,,,1663,2021-05-05 00:00:00,Active,,4.45,Commission,0.03,
183,Lisa White,Cashier,270.0,,,1663,2024-03-15 00:00:00,Active,,1.59,Commission,0.0125,
184,Sarah Torres,Ambassador,270.0,,,1663,2025-08-23 00:00:00,Active,,0.15,Commission,0.02,
185,Sharon Wright,Ambassador,270.0,,,1663,2023-11-08 00:00:00,Active,,1.94,Commission,0.025,
186,Sarah King,Ambassador,270.0,,,1663,2024-05-13 00:00:00,Terminated,2025-07-12 00:00:00,1.43,Commission,0.025,
187,Jennifer Johnson,Cashier,270.0,,,1663,2025-01-08 00:00:00,Active,,0.77,Commission,0.01,
188,Brenda Reed,Cashier,270.0,,,1663,2023-01-11 00:00:00,Active,,2.76,Commission,0.0125,
189,Edward Clark,Cashier,270.0,,,1663,2025-09-12 00:00:00,Active,,0.09,Commission,0.01,
190,David Anderson,Cashier,902.0,,,1664,2024-12-15 00:00:00,Active,,0.84,Commission,0.01,
191,Sharon Robinson,Ambassador,902.0,,,1664,2024-07-18 00:00:00,Active,,1.25,Commission,0.025,
192,Mary Hill,Cashier,902.0,,,1664,2024-06-23 00:00:00,Active,,1.31,Commission,0.0125,
193,Ryan Robinson,Cashier,902.0,,,1664,2023-08-06 00:00:00,Active,,2.2,Commission,0.0125,
194,Stephen Martin,Cashier,902.0,,,1664,2022-09-05 00:00:00,Terminated,2025-01-31 00:00:00,3.11,Commission,0.015,
195,Rebecca Nelson,Cashier,649.0,,,1665,2014-04-09 00:00:00,Terminated,2015-07-12 00:00:00,11.52,Commission,0.0175,
196,George Murphy,Cashier,649.0,,,1665,2014-04-22 00:00:00,Active,,11.49,Commission,0.0175,
197,David Cooper,Cashier,649.0,,,1665,2014-08-10 00:00:00,Active,,11.18,Commission,0.0175,
198,Timothy Cruz,Senior Ambassador,649.0,,,1665,2024-02-24 00:00:00,Active,,1.64,Commission,0.035,
199,Ashley Gomez,Ambassador,649.0,,,1665,2022-06-21 00:00:00,Active,,3.32,Commission,0.03,
200,Laura King,Ambassador,649.0,,,1665,2016-02-10 00:00:00,Active,,9.68,Commission,0.035,
201,Deborah Clark,Ambassador,649.0,,,1665,2014-04-05 00:00:00,Active,,11.53,Commission,0.035,
202,Sharon Cruz,Lead,649.0,,,1665,2017-03-24 00:00:00,Terminated,2019-05-16 00:00:00,8.56,Commission,0.06,
203,Ryan Wilson,Lead,649.0,,,1665,2018-07-12 00:00:00,Active,,7.26,Commission,0.06,
204,Jonathan Reyes,Ambassador,303.0,,,1666,2021-07-05 00:00:00,Terminated,2022-11-13 00:00:00,4.28,Commission,0.03,
205,Emily Carter,Ambassador,303.0,,,1666,2024-08-10 00:00:00,Active,,1.18,Commission,0.025,
206,Brandon Hernandez,Senior Ambassador,303.0,,,1666,2019-10-03 00:00:00,Active,,6.04,Commission,0.045,
207,Anna Miller,Cashier,303.0,,,1666,2016-04-19 00:00:00,Active,,9.49,Commission,0.0175,
208,Kimberly Green,Cashier,303.0,,,1666,2016-10-12 00:00:00,Active,,9.01,Commission,0.0175,
209,George Davis,Cashier,303.0,,,1666,2025-06-16 00:00:00,Active,,0.33,Commission,0.01,
210,Christopher Adams,Senior Ambassador,303.0,,,1666,2015-03-23 00:00:00,Active,,10.57,Commission,0.045,
211,Jennifer Green,Senior Ambassador,953.0,,,1667,2013-10-31 00:00:00,Active,,11.96,Commission,0.045,
212,Jason Turner,Ambassador,953.0,,,1667,2021-03-18 00:00:00,Active,,4.58,Commission,0.03,
213,Edward Jones,Cashier,953.0,,,1667,2016-10-15 00:00:00,Active,,9.0,Commission,0.0175,
214,Jonathan White,Cashier,953.0,,,1667,2019-03-18 00:00:00,Active,,6.58,Commission,0.0175,
215,Jason Wilson,Ambassador,953.0,,,1667,2013-04-20 00:00:00,Terminated,2019-11-25 00:00:00,12.49,Commission,0.035,
216,Carol Stewart,Ambassador,625.0,,,1668,2019-02-11 00:00:00,Terminated,2019-12-22 00:00:00,6.68,Commission,0.035,
217,Barbara Stewart,Ambassador,625.0,,,1668,2020-12-16 00:00:00,Active,,4.83,Commission,0.03,
218,Paul Ortiz,Cashier,625.0,,,1668,2021-03-22 00:00:00,Terminated,2024-05-31 00:00:00,4.57,Commission,0.015,
219,David Garcia,Ambassador,625.0,,,1668,2020-08-03 00:00:00,Terminated,2023-05-25 00:00:00,5.2,Commission,0.035,
220,Laura Williams,Ambassador,625.0,,,1668,2023-10-02 00:00:00,Active,,2.04,Commission,0.025,
221,Nancy Jones,Cashier,625.0,,,1668,2024-08-28 00:00:00,Active,,1.13,Commission,0.0125,
222,Paul Martinez,Cashier,625.0,,,1668,2022-12-16 00:00:00,Active,,2.83,Commission,0.0125,
223,Jonathan Ortiz,Cashier,625.0,,,1668,2024-01-11 00:00:00,Active,,1.76,Commission,0.0125,
224,Karen Rivera,Cashier,267.0,,,1669,2021-12-16 00:00:00,Terminated,2024-07-22 00:00:00,3.83,Commission,0.015,
225,Jonathan Rivera,Cashier,267.0,,,1669,2023-12-26 00:00:00,Active,,1.81,Commission,0.0125,
226,Christopher Thomas,Ambassador,267.0,,,1669,2022-05-14 00:00:00,Active,,3.43,Commission,0.03,
227,Ryan Gonzalez,Ambassador,267.0,,,1669,2024-11-13 00:00:00,Terminated,2025-04-09 00:00:00,0.92,Commission,0.02,
228,Brandon Nguyen,Cashier,267.0,,,1669,2025-07-06 00:00:00,Active,,0.28,Commission,0.01,
229,Brenda Martinez,Cashier,267.0,,,1669,2022-02-28 00:00:00,Active,,3.63,Commission,0.015,
230,Kevin Collins,Senior Ambassador,267.0,,,1669,2023-04-21 00:00:00,Terminated,2024-08-08 00:00:00,2.49,Commission,0.035,
231,Jason Green,Cashier,267.0,,,1669,2020-12-30 00:00:00,Active,,4.79,Commission,0.015,
232,Jason Gonzalez,Senior Ambassador,267.0,,,1669,2020-09-21 00:00:00,Terminated,2021-11-01 00:00:00,5.07,Commission,0.045,
233,Susan Martin,Cashier,267.0,,,1669,2024-11-25 00:00:00,Active,,0.89,Commission,0.01,
234,Nancy Wilson,Ambassador,768.0,,,1670,2021-02-25 00:00:00,Terminated,2023-05-24 00:00:00,4.64,Commission,0.03,
235,Anna Gutierrez,Cashier,768.0,,,1670,2019-05-06 00:00:00,Active,,6.45,Commission,0.0175,
236,Daniel Reed,Cashier,768.0,,,1670,2020-09-17 00:00:00,Active,,5.08,Commission,0.0175,
237,Patricia Robinson,Ambassador,768.0,,,1670,2020-02-29 00:00:00,Active,,5.63,Commission,0.035,
