Date Value,Order ID,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country/Region,City,State/Province,Postal Code,Region,Product ID,Category,Sub-Category,Manufacturer,Product Name,TY Sales,LY Sales,LLY Sales,TY Quantity,LY Quantity,LLY Quantity,LY Discount,LLY Discount,TY Discount,LY Profit,TY Profit,LLY Profit
9/24/2026,US-2026-108910,9/29/2026,Standard Class,KC-16540,Kelly Collister,Consumer,United States,Newark,Ohio,43055,East,FUR-FU-10002253,Furniture,Furnishings,Howard Miller,"Howard Miller 13"" Diameter Pewter Finish Round Wall Clock",103.056,0,0,3,0,0,0,0,0.2,0,24.4758,0
4/4/2023,US-2023-149538,4/8/2023,Standard Class,KB-16585,Ken Black,Corporate,United States,Lafayette,Louisiana,70506,South,OFF-PA-10003797,Office Supplies,Paper,Xerox,Xerox 209,19.44,0,0,3,0,0,0,0,0,0,9.3312,0
12/30/2026,US-2026-126221,1/5/2027,Standard Class,CC-12430,Chuck Clark,Home Office,United States,Columbus,Indiana,47201,Central,OFF-AP-10002457,Office Supplies,Appliances,Eureka,"Eureka The Boss Plus 12-Amp Hard Box Upright Vacuum, Red",209.3,0,0,2,0,0,0,0,0,0,56.511,0
12/20/2023,US-2023-138681,12/22/2023,First Class,CT-11995,Carol Triggs,Consumer,United States,Tucson,Arizona,85705,West,TEC-AC-10003628,Technology,Accessories,Logitech,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,71.976,0,0,3,0,0,0,0,0.2,0,21.5928,0
1/29/2026,US-2025-153661,1/31/2025,First Class,SC-20725,Steven Cartwright,Consumer,United States,San Francisco,California,94122,West,OFF-BI-10004781,Office Supplies,Binders,GBC,GBC Wire Binding Strips,0,50.784,0,0,2,0,0.2,0,0,17.7744,0,0
9/22/2026,US-2026-161970,9/27/2026,Standard Class,PB-19105,Peter Bühler,Consumer,United States,Smyrna,Georgia,30080,South,OFF-PA-10004255,Office Supplies,Paper,Xerox,Xerox 219,12.96,0,0,2,0,0,0,0,0,0,6.2208,0
12/11/2024,US-2024-104346,12/16/2024,Standard Class,IM-15070,Irene Maddox,Consumer,United States,Colorado Springs,Colorado,80906,West,TEC-AC-10004396,Technology,Accessories,Logitech,Logitech Keyboard K120,58.08,0,0,4,0,0,0,0,0.2,0,-6.534,0
6/14/2024,US-2023-133851,6/16/2023,Standard Class,CM-12445,Chuck Magee,Consumer,United States,San Francisco,California,94122,West,OFF-AR-10003752,Office Supplies,Art,Other,Deluxe Chalkboard Eraser Cleaner,0,23.1,0,0,2,0,0,0,0,10.626,0,0
11/20/2024,US-2024-116484,11/26/2024,Standard Class,JK-15205,Jamie Kunitz,Consumer,United States,Marion,Ohio,43302,East,OFF-ST-10003994,Office Supplies,Storage,Belkin,"Belkin 19"" Center-Weighted Shelf, Gray",141.552,0,0,3,0,0,0,0,0.2,0,-26.541,0
12/11/2025,US-2025-165330,12/11/2025,Same Day,WB-21850,William Brown,Consumer,United States,Anaheim,California,92804,West,OFF-AR-10000914,Office Supplies,Art,Boston,Boston 16765 Mini Stand Up Battery Pencil Sharpener,23.32,0,0,2,0,0,0,0,0,0,6.0632,0
5/31/2024,US-2024-100818,6/5/2024,Second Class,JM-15265,Janet Molinari,Corporate,United States,Chicago,Illinois,60653,Central,FUR-FU-10002703,Furniture,Furnishings,Tenex,"Tenex Traditional Chairmats for Hard Floors, Average Lip, 36"" x 48""",51.56,0,0,2,0,0,0,0,0.6,0,-61.872,0
8/18/2026,US-2026-112809,8/22/2026,Standard Class,RA-19915,Russell Applegate,Consumer,United States,Dallas,Texas,75220,Central,OFF-ST-10002276,Office Supplies,Storage,SAFCO,Safco Steel Mobile File Cart,200.064,0,0,3,0,0,0,0,0.2,0,12.504,0
5/11/2025,US-2023-166086,5/12/2023,Standard Class,CT-11995,Carol Triggs,Consumer,United States,Lawrence,Massachusetts,1841,East,FUR-TA-10003469,Furniture,Tables,Balt,Balt Split Level Computer Training Table,0,0,194.25,0,0,2,0,0.3,0,0,0,-38.85
12/12/2025,US-2023-104773,12/13/2023,Standard Class,TB-21175,Thomas Boland,Corporate,United States,Houston,Texas,77041,Central,OFF-ST-10000777,Office Supplies,Storage,Other,"Companion Letter/Legal File, Black",0,0,60.416,0,0,2,0,0.2,0,0,0,6.0416
9/11/2025,US-2023-109918,9/12/2023,Second Class,LR-17035,Lisa Ryan,Corporate,United States,Santa Clara,California,95051,West,OFF-BI-10004308,Office Supplies,Binders,Avery,Avery Legal 4-Ring Binder,0,0,83.92,0,0,5,0,0.2,0,0,0,31.47
3/26/2023,US-2023-141838,3/31/2023,Second Class,DK-12835,Damala Kotsonis,Corporate,United States,San Francisco,California,94122,West,OFF-BI-10003291,Office Supplies,Binders,Wilson Jones,Wilson Jones Leather-Like Binders with DublLock Round Rings,27.936,0,0,4,0,0,0,0,0.2,0,9.4284,0
1/14/2026,US-2024-157154,1/15/2024,Standard Class,MM-17920,Michael Moore,Consumer,United States,New York City,New York,10011,East,FUR-TA-10001889,Furniture,Tables,Bush,Bush Advantage Collection Racetrack Conference Table,0,0,1018.104,0,0,4,0,0.4,0,0,0,-373.3048
2/19/2025,US-2025-106460,2/22/2025,Second Class,GT-14710,Greg Tran,Consumer,United States,San Francisco,California,94109,West,OFF-PA-10001736,Office Supplies,Paper,Xerox,Xerox 1880,70.88,0,0,2,0,0,0,0,0,0,33.3136,0
11/16/2024,US-2023-105893,11/18/2023,Standard Class,PK-19075,Pete Kriz,Consumer,United States,Madison,Wisconsin,53711,Central,OFF-ST-10004186,Office Supplies,Storage,Other,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",0,665.88,0,0,6,0,0,0,0,13.3176,0,0
5/24/2024,US-2024-165512,5/26/2024,Second Class,VS-21820,Vivek Sundaresam,Consumer,United States,Naperville,Illinois,60540,Central,OFF-BI-10001249,Office Supplies,Binders,Avery,Avery Heavy-Duty EZD View Binder with Locking Rings,7.656,0,0,6,0,0,0,0,0.8,0,-13.0152,0
9/7/2026,US-2026-124401,9/12/2026,Standard Class,RD-19900,Ruben Dartt,Consumer,United States,Portland,Oregon,97206,West,TEC-AC-10002926,Technology,Accessories,Logitech,Logitech Wireless Marathon Mouse M705,279.944,0,0,7,0,0,0,0,0.2,0,80.4839,0
4/26/2026,US-2024-107678,4/28/2024,Standard Class,JK-16090,Juliana Krohn,Consumer,United States,Louisville,Kentucky,40214,South,FUR-FU-10003394,Furniture,Furnishings,Tenex,"Tenex ""The Solids"" Textured Chair Mats",0,0,209.88,0,0,3,0,0,0,0,0,35.6796
9/6/2024,US-2023-109855,9/5/2023,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,New York City,New York,10009,East,TEC-AC-10002842,Technology,Accessories,WD My Passport,WD My Passport Ultra 2TB Portable External Hard Drive,0,357,0,0,3,0,0,0,0,57.12,0,0
4/24/2024,US-2023-158470,4/23/2023,Second Class,AG-10390,Allen Goldenen,Consumer,United States,Arlington,Virginia,22204,South,OFF-BI-10003638,Office Supplies,Binders,GBC,GBC Durable Plastic Covers,0,58.05,0,0,3,0,0,0,0,26.703,0,0
11/27/2025,US-2025-129686,11/29/2025,Second Class,GG-14650,Greg Guthrie,Corporate,United States,Chicago,Illinois,60623,Central,OFF-ST-10004337,Office Supplies,Storage,SAFCO,"SAFCO Commercial Wire Shelving, 72h",97.984,0,0,2,0,0,0,0,0.2,0,-24.496,0
4/7/2026,US-2025-130477,4/12/2025,Standard Class,LC-17140,Logan Currie,Consumer,United States,Los Angeles,California,90032,West,OFF-ST-10002583,Office Supplies,Storage,Fellowes,Fellowes Neat Ideas Storage Cubes,0,64.96,0,0,2,0,0,0,0,2.5984,0,0
6/21/2025,US-2025-119865,6/26/2025,Standard Class,AS-10090,Adam Shillingsburg,Consumer,United States,New York City,New York,10011,East,OFF-BI-10003007,Office Supplies,Binders,Other,"Premium Transparent Presentation Covers, No Pattern/Clear, 8 1/2"" x 11""",186.144,0,0,6,0,0,0,0,0.2,0,60.4968,0
10/15/2025,US-2025-124352,10/21/2025,Standard Class,CD-12790,Cynthia Delaney,Home Office,United States,Oklahoma City,Oklahoma,73120,Central,OFF-AP-10002651,Office Supplies,Appliances,Hoover,Hoover Upright Vacuum With Dirt Cup,868.59,0,0,3,0,0,0,0,0,0,251.8911,0
11/23/2024,US-2023-163468,11/21/2023,First Class,JK-15730,Joe Kamberova,Consumer,United States,Des Plaines,Illinois,60016,Central,OFF-BI-10004728,Office Supplies,Binders,Wilson Jones,Wilson Jones Turn Tabs Binder Tool for Ring Binders,0,2.892,0,0,3,0,0.8,0,0,-4.9164,0,0
10/25/2025,US-2023-100916,10/26/2023,Standard Class,FH-14275,Frank Hawley,Corporate,United States,Newport News,Virginia,23602,South,FUR-TA-10004607,Furniture,Tables,Hon,Hon 2111 Invitation Series Straight Table,0,0,591.32,0,0,4,0,0,0,0,0,112.3508
1/31/2024,US-2024-149587,2/5/2024,Second Class,KB-16315,Karl Braun,Consumer,United States,Minneapolis,Minnesota,55407,Central,OFF-PA-10003177,Office Supplies,Paper,Xerox,Xerox 1999,12.96,0,0,2,0,0,0,0,0,0,6.2208,0
11/29/2024,US-2023-127131,11/30/2023,Standard Class,HR-14830,Harold Ryan,Corporate,United States,Seattle,Washington,98103,West,OFF-BI-10004656,Office Supplies,Binders,Other,Peel & Stick Add-On Corner Pockets,0,12.096,0,0,7,0,0.2,0,0,4.2336,0,0
3/8/2024,US-2023-127978,3/8/2023,Standard Class,JS-15595,Jill Stevenson,Corporate,United States,Columbus,Ohio,43229,East,OFF-LA-10000305,Office Supplies,Labels,Avery,Avery 495,0,15.12,0,0,3,0,0.2,0,0,4.914,0,0
11/10/2025,US-2025-145177,11/14/2025,Standard Class,PP-18955,Paul Prost,Home Office,United States,Springfield,Ohio,45503,East,OFF-LA-10001613,Office Supplies,Labels,Avery,Avery File Folder Labels,9.216,0,0,4,0,0,0,0,0.2,0,3.3408,0
8/5/2023,US-2023-110065,8/11/2023,Standard Class,SP-20650,Stephanie Phelps,Corporate,United States,New York City,New York,10009,East,OFF-AR-10004165,Office Supplies,Art,Binney & Smith,"Binney & Smith inkTank Erasable Pocket Highlighter, Chisel Tip, Yellow",15.96,0,0,7,0,0,0,0,0,0,7.0224,0
4/27/2026,US-2026-168228,4/29/2026,First Class,AP-10915,Arthur Prichep,Consumer,United States,Los Angeles,California,90045,West,OFF-AR-10001725,Office Supplies,Art,Boston,Boston Home & Office Model 2000 Electric Pencil Sharpeners,47.3,0,0,2,0,0,0,0,0,0,12.298,0
5/30/2025,US-2024-147788,6/4/2024,Standard Class,TM-21010,Tamara Manning,Consumer,United States,Orem,Utah,84057,West,FUR-BO-10004357,Furniture,Bookcases,O'Sullivan,O'Sullivan Living Dimensions 3-Shelf Bookcases,0,1406.86,0,0,7,0,0,0,0,140.686,0,0
7/15/2025,US-2024-146948,7/20/2024,Standard Class,MG-17890,Michael Granlund,Home Office,United States,Baltimore,Maryland,21215,East,OFF-FA-10001332,Office Supplies,Fasteners,Acco,"Acco Banker's Clasps, 5 3/4""-Long",0,11.52,0,0,4,0,0,0,0,5.4144,0,0
9/12/2025,US-2024-129007,9/15/2024,First Class,KD-16615,Ken Dana,Corporate,United States,Anaheim,California,92804,West,FUR-FU-10002379,Furniture,Furnishings,Eldon,Eldon Econocleat Chair Mats for Low Pile Carpets,0,207.35,0,0,5,0,0,0,0,24.882,0,0
8/20/2025,US-2024-130512,8/25/2024,Standard Class,SM-20320,Sean Miller,Home Office,United States,Allentown,Pennsylvania,18103,East,TEC-AC-10000290,Technology,Accessories,Other,Sabrent 4-Port USB 2.0 Hub,0,21.728,0,0,4,0,0.2,0,0,3.8024,0,0
8/17/2026,US-2026-166093,8/24/2026,Standard Class,RW-19540,Rick Wilson,Corporate,United States,Brentwood,California,94513,West,OFF-PA-10003893,Office Supplies,Paper,Xerox,Xerox 1962,8.56,0,0,2,0,0,0,0,0,0,3.852,0
11/7/2024,US-2023-107454,11/6/2023,Standard Class,RD-19720,Roger Demir,Consumer,United States,New York City,New York,10024,East,OFF-LA-10001569,Office Supplies,Labels,Avery,Avery 499,0,34.86,0,0,7,0,0,0,0,16.0356,0,0
10/3/2023,US-2023-157882,10/8/2023,Second Class,AR-10405,Allen Rosenblatt,Corporate,United States,Los Angeles,California,90036,West,FUR-CH-10002774,Furniture,Chairs,Global,"Global Deluxe Stacking Chair, Gray",122.352,0,0,3,0,0,0,0,0.2,0,13.7646,0
10/31/2023,US-2023-106439,11/4/2023,Standard Class,GG-14650,Greg Guthrie,Corporate,United States,Los Angeles,California,90049,West,FUR-CH-10003833,Furniture,Chairs,Novimex,Novimex Fabric Task Chair,146.352,0,0,3,0,0,0,0,0.2,0,-9.147000000,0
11/11/2026,US-2026-110842,11/16/2026,Standard Class,GA-14725,Guy Armstrong,Consumer,United States,Los Angeles,California,90036,West,OFF-PA-10000520,Office Supplies,Paper,Xerox,Xerox 201,19.44,0,0,3,0,0,0,0,0,0,9.3312,0
11/21/2025,US-2025-113425,11/21/2025,Same Day,JK-16120,Julie Kriz,Home Office,United States,New York City,New York,10009,East,FUR-BO-10002598,Furniture,Bookcases,Hon,"Hon Metal Bookcases, Putty",113.568,0,0,2,0,0,0,0,0.2,0,12.7764,0
6/26/2026,US-2026-148810,7/1/2026,Standard Class,DR-12880,Dan Reichenbach,Corporate,United States,Miami,Florida,33180,South,FUR-CH-10001545,Furniture,Chairs,Hon,Hon Comfortask Task/Swivel Chairs,273.552,0,0,3,0,0,0,0,0.2,0,-13.6776,0
3/4/2025,US-2024-109512,3/5/2024,Same Day,LF-17185,Luke Foster,Consumer,United States,New York City,New York,10011,East,FUR-CH-10001146,Furniture,Chairs,Global,"Global Value Mid-Back Manager's Chair, Gray",0,383.607,0,0,7,0,0.1,0,0,63.9345,0,0
9/11/2025,US-2023-109918,9/12/2023,Second Class,LR-17035,Lisa Ryan,Corporate,United States,Santa Clara,California,95051,West,OFF-SU-10004290,Office Supplies,Supplies,Acme,"Acme Design Line 8"" Stainless Steel Bent Scissors w/Champagne Handles, 3-1/8"" Cut",0,0,27.36,0,0,4,0,0,0,0,0,7.3872
8/26/2025,US-2025-132094,9/2/2025,Standard Class,VG-21805,Vivek Grady,Corporate,United States,Philadelphia,Pennsylvania,19140,East,TEC-AC-10001109,Technology,Accessories,Logitech,Logitech Trackman Marble Mouse,47.984,0,0,2,0,0,0,0,0.2,0,13.1956,0
10/6/2025,US-2025-157490,10/7/2025,First Class,LB-16795,Laurel Beltran,Home Office,United States,Pueblo,Colorado,81001,West,TEC-MA-10001695,Technology,Machines,Zebra,Zebra GK420t Direct Thermal/Thermal Transfer Printer,703.71,0,0,6,0,0,0,0,0.7,0,-938.28,0
11/5/2025,US-2025-143441,11/5/2025,Same Day,EB-14170,Evan Bailliet,Consumer,United States,Laredo,Texas,78041,Central,OFF-LA-10002312,Office Supplies,Labels,Avery,Avery 490,11.84,0,0,1,0,0,0,0,0.2,0,4.44,0
9/11/2025,US-2023-126193,9/14/2023,Standard Class,SS-20410,Shahid Shariari,Consumer,United States,Oswego,Illinois,60543,Central,OFF-BI-10004632,Office Supplies,Binders,Ibico,Ibico Hi-Tech Manual Binding System,0,0,304.99,0,0,5,0,0.8,0,0,0,-533.7325
11/9/2025,US-2024-121783,11/14/2024,Standard Class,PO-19180,Philisse Overcash,Home Office,United States,Roseville,Minnesota,55113,Central,OFF-BI-10001658,Office Supplies,Binders,GBC,GBC Standard Therm-A-Bind Covers,0,74.76,0,0,3,0,0,0,0,34.3896,0,0
2/4/2026,US-2025-108504,2/5/2025,Same Day,PP-18955,Paul Prost,Home Office,United States,Smyrna,Georgia,30080,South,TEC-PH-10000215,Technology,Phones,Plantronics,Plantronics Cordless Phone Headset with In-line Volume - M214C,0,104.85,0,0,3,0,0,0,0,28.3095,0,0
5/13/2026,US-2024-142055,5/10/2024,First Class,AB-10255,Alejandro Ballentine,Home Office,United States,New York City,New York,10009,East,OFF-PA-10003465,Office Supplies,Paper,Xerox,Xerox 1912,0,0,37.94,0,0,2,0,0,0,0,0,18.2112
5/12/2024,US-2024-130876,5/16/2024,Second Class,AZ-10750,Annie Zypern,Consumer,United States,New York City,New York,10024,East,OFF-ST-10004258,Office Supplies,Storage,Other,Portable Personal File Box,36.63,0,0,3,0,0,0,0,0,0,9.8901,0
7/11/2024,US-2024-142419,7/13/2024,Second Class,SC-20380,Shahid Collister,Consumer,United States,Seattle,Washington,98115,West,OFF-BI-10001597,Office Supplies,Binders,Wilson Jones,"Wilson Jones Ledger-Size, Piano-Hinge Binder, 2"", Blue",98.352,0,0,3,0,0,0,0,0.2,0,34.4232,0
7/16/2026,US-2025-139087,7/22/2025,Second Class,DK-13375,Dennis Kane,Consumer,United States,Seattle,Washington,98105,West,TEC-PH-10000148,Technology,Phones,Other,Cyber Acoustics AC-202b Speech Recognition Stereo Headset,0,20.784,0,0,2,0,0.2,0,0,-4.6764,0,0
10/2/2024,US-2024-137008,10/8/2024,Standard Class,JP-15460,Jennifer Patt,Corporate,United States,Lakewood,New Jersey,8701,East,OFF-PA-10001295,Office Supplies,Paper,Other,Computer Printout Paper with Letter-Trim Perforations,94.85,0,0,5,0,0,0,0,0,0,45.528,0
11/24/2023,CA-2023-153623,12/5/2023,Standard Class,JP-11135,James Peterman,Corporate,Canada,St. John's,Newfoundland and Labrador,,East,FUR-FU-10002501,Furniture,Furnishings,Nu-Dell,Nu-Dell Executive Frame,198.24,0,0,16,0,0,0,0,0,0,70.8288,0
9/5/2025,US-2025-158778,9/9/2025,Standard Class,DB-13210,Dean Braden,Consumer,United States,Philadelphia,Pennsylvania,19134,East,FUR-FU-10000260,Furniture,Furnishings,Other,"6"" Cubicle Wall Clock, Black",58.248,0,0,9,0,0,0,0,0.2,0,11.6496,0
3/31/2026,US-2025-166674,4/3/2025,Second Class,RB-19360,Raymond Buch,Consumer,United States,Auburn,New York,13021,East,OFF-AR-10003156,Office Supplies,Art,Other,50 Colored Long Pencils,0,30.48,0,0,3,0,0,0,0,7.9248,0,0
12/14/2026,US-2026-107629,12/14/2026,Same Day,DB-13060,Dave Brooks,Consumer,United States,Skokie,Illinois,60076,Central,OFF-AR-10002987,Office Supplies,Art,Other,Prismacolor Color Pencil Set,95.232,0,0,6,0,0,0,0,0.2,0,24.9984,0
3/13/2026,US-2026-146906,3/17/2026,Standard Class,MT-17815,Meg Tillman,Consumer,United States,New York City,New York,10011,East,TEC-PH-10001809,Technology,Phones,Panasonic,Panasonic KX T7736-B Digital phone,299.9,0,0,2,0,0,0,0,0,0,74.975,0
10/29/2023,US-2023-166590,11/2/2023,Standard Class,NC-18625,Noah Childs,Corporate,United States,Columbus,Indiana,47201,Central,TEC-AC-10003433,Technology,Accessories,Maxell,Maxell 4.7GB DVD+R 5/Pack,1.98,0,0,2,0,0,0,0,0,0,0.891,0
11/10/2024,US-2024-155040,11/15/2024,Standard Class,AH-10210,Alan Hwang,Consumer,United States,Brentwood,California,94513,West,TEC-AC-10004469,Technology,Accessories,Microsoft,Microsoft Sculpt Comfort Mouse,79.9,0,0,2,0,0,0,0,0,0,35.156,0
12/19/2026,US-2026-116946,12/23/2026,Standard Class,TS-21505,Tony Sayre,Consumer,United States,Parker,Colorado,80134,West,FUR-BO-10000468,Furniture,Bookcases,O'Sullivan,O'Sullivan 2-Shelf Heavy-Duty Bookcases,102.018,0,0,7,0,0,0,0,0.7,0,-183.6324,0
5/13/2026,US-2025-148901,5/19/2025,Standard Class,MK-17905,Michael Kennedy,Corporate,United States,Jacksonville,Florida,32216,South,OFF-BI-10004002,Office Supplies,Binders,Wilson Jones,Wilson Jones International Size A4 Ring Binders,0,10.38,0,0,2,0,0.7,0,0,-7.612,0,0
3/28/2026,US-2024-107944,3/25/2024,First Class,AM-10360,Alice McCarthy,Corporate,United States,Los Angeles,California,90008,West,TEC-AC-10000736,Technology,Accessories,Logitech,Logitech G600 MMO Gaming Mouse,0,0,239.97,0,0,3,0,0,0,0,0,86.3892
9/15/2026,US-2026-127096,9/17/2026,Second Class,CS-12400,Christopher Schild,Home Office,United States,San Francisco,California,94109,West,FUR-TA-10003473,Furniture,Tables,Bretford,Bretford Rectangular Conference Table Tops,300.904,0,0,1,0,0,0,0,0.2,0,11.2839,0
11/8/2024,US-2023-121573,11/7/2023,Standard Class,SG-20605,Speros Goranitis,Consumer,United States,New York City,New York,10009,East,TEC-PH-10000984,Technology,Phones,Panasonic,Panasonic KX-TG9471B,0,783.96,0,0,4,0,0,0,0,219.5088,0,0
3/26/2025,US-2023-158057,3/26/2023,Standard Class,CC-12685,Craig Carroll,Consumer,United States,Greensboro,North Carolina,27405,South,OFF-BI-10002735,Office Supplies,Binders,GBC,GBC Prestige Therm-A-Bind Covers,0,0,51.465,0,0,5,0,0.7,0,0,0,-39.4565
9/1/2025,US-2025-116526,9/5/2025,Standard Class,JA-15970,Joseph Airdo,Consumer,United States,Detroit,Michigan,48227,Central,OFF-BI-10004728,Office Supplies,Binders,Wilson Jones,Wilson Jones Turn Tabs Binder Tool for Ring Binders,24.1,0,0,5,0,0,0,0,0,0,11.086,0
7/16/2024,US-2024-113404,7/16/2024,Same Day,EM-13810,Eleni McCrary,Corporate,United States,San Francisco,California,94122,West,FUR-CH-10004086,Furniture,Chairs,Hon,Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,700.152,0,0,3,0,0,0,0,0.2,0,78.7671,0
8/31/2024,US-2023-123260,8/30/2023,Standard Class,FM-14290,Frank Merwin,Home Office,United States,Los Angeles,California,90032,West,TEC-AC-10002323,Technology,Accessories,SanDisk,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,0,176.8,0,0,8,0,0,0,0,22.984,0,0
